Instance;EVALUATOR_STRATEGY_and_TABU_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_SIMULATED_ANNEALING;SWEEP_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_ARC_and_GREEDY_DESCENT;BEST_INSERTION_and_GENERIC_TABU_SEARCH
C1_4_1;42.73724370002746;45.95096733570099;45.53996958732605;39.19179508686066;50.05174436569214
C1_2_7;15.343913197517395;14.920734810829163;11.066726660728454;11.34455578327179;14.069894313812256
C1_4_10;51.93042931556702;49.021701145172116;53.22290349006653;49.25269632339477;52.1820494890213
C1_4_2;44.814077091217044;46.03036060333252;45.22967476844788;46.88786814212799;41.109715175628665
C1_4_9;44.065037035942076;43.86227905750275;44.911135745048526;39.7875883102417;41.26104888916016
C1_2_5;7.866047739982605;6.695745301246643;7.205913376808167;7.257440710067749;6.209612584114074
C1_2_4;11.251815724372864;14.887338781356812;10.165855216979981;10.940388536453247;14.490303230285644
C1_2_8;6.860963153839111;6.594448542594909;8.658106184005737;7.782954621315002;9.907161808013916
C1_4_5;44.83254902362823;37.94480307102204;35.62404546737671;37.26490859985351;43.68716368675232
C1_6_1;60.00846860408783;59.89067258834839;60.00554246902466;60.03032975196838;60.01039309501648
C1_2_3;11.488340663909913;8.045547342300415;10.87083559036255;11.86077585220337;10.678007888793946
C1_6_3;60.00619778633118;60.006798553466794;60.00975623130798;60.005638003349304;60.00748288631439
C1_2_10;9.223840260505677;14.0334979057312;11.384680700302123;7.689261484146118;9.79342179298401
C1_2_9;7.333447551727295;11.795052623748779;10.456536555290223;11.511130547523498;12.03836441040039
C1_2_6;9.152487754821777;9.317978167533875;8.398485994338989;7.901608300209046;9.558373546600341
C1_4_6;50.07463502883911;39.70565006732941;46.69292380809784;50.291526556015015;45.890143394470215
C1_4_4;50.39569618701935;50.759953474998476;53.83423147201538;52.67734467983246;52.543568181991574
C1_2_2;12.79836871623993;13.07279143333435;13.358398270606994;13.252850365638732;10.350961327552795
C1_6_5;60.006021070480344;60.00671637058258;60.00599102973938;60.00612280368805;60.00641014575958
C1_2_1;6.936763954162598;6.634594368934631;6.428516864776611;6.198244571685791;6.238053035736084
C1_4_3;56.86370639801025;53.6140882730484;52.3161416053772;52.88407692909241;50.3864926815033
C1_6_2;60.00569341182709;60.015969681739804;60.01014142036438;60.00714337825775;60.00496709346771
C1_4_7;43.59404098987579;43.65923652648926;48.76983509063721;48.30464408397675;48.34163434505463
C1_6_4;60.007090187072755;60.00785889625549;60.007852625846866;2715.8217569112776;60.00543999671936
C1_4_8;43.311811566352844;51.046926045417784;39.608273434638974;46.95745017528534;48.57432489395141
