Instance;ALL_UNPERFORMED_and_TABU_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_SIMULATED_ANNEALING;PARALLEL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;SEQUENTIAL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH
CVRP_3;6.433784985542298;5.3473129034042355;7.076212239265442;5.9987181425094604;6.4979496717453005
p3;35.204823221479145;29.547898088182723;30.660620621272496;27.286593505314418;28.808671065739222
p1;6.072054624557495;6.836379766464233;7.706505162375314;7.21558335849217;6.503878320966448
CVRP_5;19.703694891929626;22.5155207157135;19.982785558700563;19.14777889251709;19.56606991291046
p31;2.7943828446524486;2.356356825147356;2.409106935773577;2.628402199063982;2.1786557265690396
CVRP_2;8.294294261932373;8.439624857902526;8.493960618972778;8.068235659599305;8.661790037155152
CVRP_100;0.22276949882507324;0.24798932075500488;0.23282275199890137;0.24348373413085939;0.24021899700164795
p2;8.473117232322693;11.662885626157125;10.170378923416138;11.202682574590048;8.912223974863688
CVRP_4;23.03450493812561;20.28965542316437;19.356943988800047;19.228058314323427;22.69433989524841
CVRP_1;7.212566328048706;5.840358471870422;7.289189887046814;7.622110795974732;7.724121499061584
