Instance;PATH_MOST_CONSTRAINED_ARC_and_TABU_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_SIMULATED_ANNEALING;FIRST_UNBOUND_MIN_VALUE_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;LOCAL_CHEAPEST_ARC_and_GREEDY_DESCENT;CHRISTOFIDES_and_GENERIC_TABU_SEARCH
C1_4_1;38.534079098701476;35.99198844432831;38.89845459461212;37.62099032402038;39.68261821269989;39.313932514190675
C1_2_7;5.6138616561889645;9.65551528930664;7.678353595733642;8.973343563079833;10.47625641822815;7.735703825950623
C1_4_10;56.856280827522276;52.249318671226504;53.72930734157562;55.3784202337265;51.89203586578369;54.47236702442169
C1_4_2;49.4961186170578;51.866363406181335;48.72332878112793;52.52855868339539;50.953892421722415;48.80548176765442
C1_4_9;55.302244210243224;52.47601521015167;56.85635914802551;50.43936171531677;49.61102166175842;47.83574373722077
C1_2_5;11.327050256729127;7.757310700416565;7.929088926315307;10.829018831253052;7.745262217521668;8.078317046165466
C1_2_4;12.392571759223937;15.655579876899719;15.013606786727905;10.906759595870971;12.872994184494019;10.12207498550415
C1_2_8;9.262445211410522;8.834803175926208;8.638994908332824;7.9867850065231325;7.909584736824035;7.546956038475036
C1_4_5;38.291028308868405;46.93395285606384;48.456500720977786;49.81352319717407;41.56938450336456;45.74375929832458
C1_6_1;59.945918273925784;60.005537557601926;60.00720469951629;60.00788762569427;60.00605487823486;60.006719493865965
C1_2_3;10.873220443725586;11.156578183174133;11.087632441520691;11.278005814552307;11.387879920005798;11.089490985870361
C1_6_3;60.006793355941774;60.00652084350586;60.00565040111542;60.006633806228635;60.00660350322723;60.0066659450531
C1_2_10;9.674353885650635;13.990677738189698;8.151651763916016;6.5026328563690186;11.224506139755249;11.598588037490845
C1_2_9;13.669848871231078;13.540194082260133;13.445337343215943;13.239339256286621;13.779257822036744;13.270395636558533
C1_2_6;6.889242172241211;9.568640446662902;6.824849939346313;9.213833999633788;9.866462445259094;6.193308711051941
C1_4_6;35.766048550605774;42.23150856494904;43.65731153488159;40.37315106391907;37.98743648529053;53.223218369483945
C1_4_4;53.56125891208649;56.46857948303223;55.157187247276305;58.54852352142334;55.404738259315494;57.58791635036469
C1_2_2;10.875573444366456;8.580477643013001;10.275634384155273;9.29594566822052;7.949930000305176;8.22515640258789
C1_6_5;60.00411698818207;60.0053332567215;60.00945327281952;60.00549304485321;60.004468989372256;60.00683360099792
C1_2_1;5.207100367546081;6.376042795181275;5.228658771514892;5.190856218338013;5.322131514549255;5.199963188171386
C1_4_3;52.57381134033203;52.67362034320831;51.89740881919861;53.62470538616181;58.192905807495116;57.56863865852356
C1_6_2;60.00438363552094;60.00566425323486;60.00477316379547;60.004570722579956;60.00740320682526;60.005743217468265
C1_4_7;49.82067294120789;44.584376621246335;45.36033420562744;49.513762426376346;42.289814138412474;43.054372024536136
C1_6_4;60.20088338851929;60.00614256858826;60.0055027961731;60.00494818687439;60.00686101913452;60.004654836654666
C1_4_8;43.53359708786011;47.70837342739105;47.210630130767825;49.76167078018189;48.62904243469238;48.70625197887421
