Instance;SEQUENTIAL_CHEAPEST_INSERTION_and_TABU_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;SAVINGS_and_GREEDY_DESCENT;LOCAL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH
att48;0.15407848358154297;0.14510977268218994;0.5101888179779053;0.515509843826294;0.15216660499572754
pr76;1.086903691291809;1.0903007984161377;1.0237727165222168;1.1250853538513184;1.0367772579193115
st70;0.3333008289337158;0.23903870582580566;0.3686540126800537;0.6400991280873617;0.8474239508310953
rd100;0.7514567375183105;1.121219317118327;1.1107821464538574;0.7026696999867758;0.926097551981608
dsj1000;60.012532472610474;60.00502550601959;60.00570476055145;60.00567738215128;60.007731556892395
u724;60.00418555736542;54.982192277908325;60.003305196762085;60.00420415401459;60.00377595424652
ch150;7.635096073150635;8.228189388910929;5.741049528121948;11.491072654724121;9.94434897104899
d657;60.009832779566445;60.003780921300255;60.006536881128945;60.00671903292338;60.007285038630165
pr107;0.7800633907318115;0.7996711730957031;0.2957603931427002;1.6669156551361084;0.30257415771484375
ulysses22;0.031540870666503906;0.035981178283691406;0.03906369209289551;0.019317150115966797;0.03234076499938965
pr124;3.5836663246154785;3.6224162578582764;1.2682061195373535;1.1808514595031738;3.785141706466675
d493;44.08801579475403;41.43839955329895;60.00619387626648;18.69541597366333;50.61471366882324
ulysses16;0.009699821472167969;0.008864164352416992;0.008958578109741211;0.00850677490234375;0.008282661437988281
