Instance;FIRST_UNBOUND_MIN_VALUE_and_GREEDY_DESCENT;GLOBAL_CHEAPEST_ARC_and_GREEDY_DESCENT;LOCAL_CHEAPEST_COST_INSERTION_and_GREEDY_DESCENT;PATH_CHEAPEST_ARC_and_GREEDY_DESCENT;PARALLEL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;ALL_UNPERFORMED_and_GREEDY_DESCENT;SAVINGS_and_GREEDY_DESCENT;CHRISTOFIDES_and_GREEDY_DESCENT;PATH_MOST_CONSTRAINED_ARC_and_GREEDY_DESCENT;LOCAL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;SEQUENTIAL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;LOCAL_CHEAPEST_ARC_and_GREEDY_DESCENT
HFVRP_4;2192.2556376457214;1.1382746934890746;2.426656794548035;1.50076162815094;1.708110237121582;2192.2556376457214;1.5292128801345826;1.695840549468994;1.30085232257843;2.2822837829589844;2.1424045085906984;1.8635156393051147
C1_4_9;60.02805879116058;58.35007209777832;60.010766577720645;44.75759472846985;52.28261318206787;671.7873859405518;30.81152093410492;45.20830192565918;34.74466631412506;57.54925184249878;52.45455415248871;55.74265866279602
C1_6_4;60.18259984254837;60.48367774486542;60.05785834789276;65.26378065347672;61.28677523136139;3387.6234340667725;70.49001201987267;61.01182869076729;71.62430131435394;60.00939890742302;60.44639265537262;60.047364205121994
C1_6_5;60.05377280712128;60.414589166641235;60.047772973775864;62.45915341377258;61.25447255373001;26930.96466779709;63.42286992073059;63.13747900724411;60.77559441328049;60.030614614486694;178.81159383058548;60.01690700650215
C1_2_7;29.60548174381256;10.249057364463805;18.740984320640564;9.448138236999512;7.880181169509887;611.530499458313;7.964951610565185;9.283720636367798;7.358399081230163;17.365711879730224;9.0114417552948;14.060120725631714
C1_4_10;60.007400798797605;61.53906922340393;60.02822518348694;56.02564435005188;59.39092602729797;687.8212809562683;38.096527862548825;56.48941798210144;46.57404818534851;60.097341203689574;58.39413928985596;59.166983246803284
HFVRP_p14;604.4549179077148;37.767071223258974;30.70372266769409;24.06038944721222;30.16026532649994;604.4549179077148;40.75014727115631;30.0742329120636;26.369095849990845;24.073977065086364;38.563571429252626;39.670947313308716
C1_2_6;25.42190933227539;7.927533835172653;14.2025785446167;9.780886994467842;6.012189361784193;608.8187885284424;5.977941989898682;7.105217509799534;7.111808035108778;14.227780371904373;8.711619562572903;14.452596724033356
CVRP_p5;601.547839641571;1.389337992668152;1.8989118576049804;1.1455712795257569;1.6763725996017456;601.547839641571;1.6604105234146118;1.3324542045593262;2.035387945175171;2.1977296590805055;1.6292081117630004;2.079501152038574
CVRP_4;600.9110879898071;0.9585754632949829;0.9379085540771485;1.4015667676925658;1.2014718770980835;600.9110879898071;0.7708440303802491;1.3072504997253418;1.7777898073196412;0.8655013799667358;1.133527684211731;0.9207311630249023
C1_4_7;60.62887564301491;58.07818213105202;58.66875922679901;51.42642363905907;50.267421782016754;1159.6506571769714;36.55014553666115;48.618866205215454;41.25153511762619;56.9888522028923;55.33151039481163;49.07876333594322
C1_4_1;66.20179464817048;58.44495317935944;58.12732009887695;46.3424204826355;51.3014641046524;1280.0221824645996;34.870857095718385;47.085572361946106;42.9952561378479;57.660467982292175;53.86108422279358;50.17910995483398
C1_6_3;60.021919798851016;61.281549382209775;60.02487797737122;62.97832446098327;61.31008720397949;701.5186452865601;62.175901365280154;61.49486424922943;61.472591853141786;60.013240051269534;60.98533711433411;60.02516975402832
C1_2_1;19.697793066501617;7.08699032664299;11.642668604850769;7.021926075220108;6.066714435815811;611.8837904930115;6.339401215314865;6.843550533056259;6.836366772651672;12.567472457885742;7.920503199100494;10.058629870414734
