Instance;FIRST_UNBOUND_MIN_VALUE_and_TABU_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_COST_INSERTION_and_GUIDED_LOCAL_SEARCH;SAVINGS_and_GREEDY_DESCENT;LOCAL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH
HFVRP_4;2192.2556376457214;60.00106697082519;60.00115787982941;1.5292128801345826;60.00482304096222
C1_4_9;60.028357529640196;60.228309059143065;60.35337424278259;30.81152093410492;60.67370150089264
C1_6_4;60.100062131881714;60.0941419005394;60.07020923495293;70.49001201987267;60.06732586026192
C1_6_5;60.088950514793396;60.05984807014465;60.031489461660385;63.42286992073059;60.05850887298584
C1_2_7;60.01495578289032;60.02019991874695;60.00422461032868;7.964951610565185;60.00121283531189
C1_4_10;60.03895225524902;60.005917096138;60.59141054153442;38.096527862548825;60.38257393836975
HFVRP_p14;604.4549179077148;60.002644777297974;60.0027960062027;40.75014727115631;60.0025191783905
C1_2_6;60.00197187066078;60.10013094544411;60.03949388861656;5.977941989898682;60.09185433387756
CVRP_p5;601.547839641571;60.00098958015442;60.00079672336578;1.6604105234146118;60.00059022903442
CVRP_4;600.9110879898071;60.00062246322632;60.00889914035797;0.7708440303802491;60.01527061462402
C1_4_7;60.52466168999672;60.36648863554001;60.3725688457489;36.55014553666115;60.125325709581375
C1_4_1;60.03336443901062;60.67733492851257;60.01966047286987;34.870857095718385;60.25457110404968
C1_6_3;60.096566033363345;60.02223610877991;60.032628417015076;62.175901365280154;60.07336139678955
C1_2_1;60.13546031713486;60.02213141322136;60.03353026509285;6.339401215314865;60.212484419345856
CVRP_p3;60.00080051422119;60.001176142692564;60.0011381149292;0.7568049192428589;60.00040760040283
C1_6_2;60.02644807100296;60.0204496383667;60.043232917785645;64.50811862945557;60.03224638104439
C1_4_4;60.013991206884384;60.61647242307663;60.86328586935997;33.348881125450134;61.48310446739197
CVRP_100;60.000331211090085;60.000803279876706;60.000827836990354;0.02274935245513916;60.307647013664244
C1_2_5;60.034138560295105;60.17314965724945;60.02951591014862;7.221320390701294;60.00194973945618
C1_4_3;60.02336385846138;60.88143229484558;60.20887929201126;29.966053426265717;60.706638008356094
HFVRP_1;95472.83802509308;60.00168268680572;60.00494315624237;0.7563261270523072;60.000520849227904
C1_4_2;60.01569037437439;60.177615356445315;60.735136938095096;30.414910531044008;63.49445197582245
C1_2_3;60.10817952156067;60.12530086040497;60.35837388038635;5.4869297504425045;60.03261549472809
C1_4_6;60.0177948474884;61.41346377134323;60.61969390511513;34.845854222774506;60.952751249074936
C1_4_8;60.01366728544235;60.53618577122688;60.39066791534424;31.084533005952835;60.143627643585205
C1_2_10;60.064451959398056;61.034319665696884;60.34019054306878;4.539017152786255;61.44479958216349
C1_2_4;60.06418118476868;60.079158902168274;60.09480061531067;6.132284498214721;60.07948248386383
C1_6_1;60.06476907730102;60.038056421279904;60.03506450653076;63.30203938484192;60.025178694725035
CVRP_p14;60.00282614231109;60.00120658874512;60.001778388023375;23.25461890697479;60.00125482082367
C1_2_8;60.05093030929565;60.079204297065736;60.05191068649292;7.726500511169434;60.18511791229248
C1_2_9;60.02074225743612;60.12006825870938;60.09522342681885;6.003774483998616;60.043175035052826
C1_2_2;60.08732542395592;60.108325242996216;60.03729984164238;6.829550713300705;60.0736269056797
CVRP_1;60.00034301280975;60.001233959198;60.001606297492984;0.5379139661788941;60.00164206027985
HFVRP_p3;600.2830266952515;60.00066604614258;60.004040122032166;0.8334118843078613;60.00098483562469
C1_4_5;60.010405802726744;60.45426549911499;60.72200980186462;34.65051980018616;60.96037862300873
HFVRP_p5;600.4956841468811;60.00092000961304;60.00151200294495;2.0248012781143188;60.00488600730896
CVRP_3;0.2010488510131836;0.2010488510131836;0.2010488510131836;0.008644342422485352;0.2010488510131836
