Instance;PATH_CHEAPEST_ARC_and_GREEDY_DESCENT;LOCAL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;EVALUATOR_STRATEGY_and_TABU_SEARCH;LOCAL_CHEAPEST_ARC_and_GREEDY_DESCENT;EVALUATOR_STRATEGY_and_SIMULATED_ANNEALING;SEQUENTIAL_CHEAPEST_INSERTION_and_GREEDY_DESCENT
p3;21.853510113323438;18.238420388277838;25.385582082411823;18.359702587127686;18.860358490663415;17.4714956704308
p6;27.929169678688048;19.160943746566772;20.358735466003417;19.304220938682555;19.735283493995667;18.669077730178834
p19;8.956226682662964;9.737228989601135;7.779126119613648;8.847567486763001;8.564783358573914;10.122266387939453
p5;38.59442803859711;32.93899986743927;34.364710834291245;35.65334188938141;32.49025090535482;33.256981229782106
p1;4.750412828782025;4.383624245138729;3.472012828378116;4.277760127011468;3.478802905363195;3.832012078341316
p31;1.1265420773450066;1.0685414847205668;1.0032145556281595;1.0059250102323645;1.064877986907959;1.0940734638887293
p15;1.0202621698379517;2.3999715089797973;1.232997727394104;1.8471543550491334;1.4273749589920044;1.7274641275405884
p2;5.574595600366592;5.980341672897339;4.174986243247986;4.712578296661377;5.978890210390091;5.117369398474693
att48;0.04780967235565185;0.07236053943634033;0.04483981132507324;0.04516212940216065;0.07122802734375;0.04497947692871094
pr76;0.11211526393890381;0.10206120014190674;0.23537139892578124;0.23822686672210694;0.10158576965332031;0.2359415054321289
pr107;0.22637269496917725;0.2521106243133545;0.3674339294433594;0.37663395404815675;0.2504944086074829;0.3717705965042114
st70;0.1340343713760376;0.1832573652267456;0.1891688585281372;0.21300909519195557;0.18275690078735352;0.1983640193939209
ulysses22;0.0077522039413452145;0.005703496932983399;0.0057923316955566405;0.006168794631958008;0.005750036239624024;0.006144332885742188
rd100;0.38960192203521726;0.6752311944961548;0.6026568412780762;0.5397218227386474;0.5485177993774414;0.6314839124679565
pr124;0.36102235317230225;0.6269407510757447;0.5743939399719238;0.26662311553955076;0.6907310485839844;0.694134783744812
d493;11.280271625518798;27.471121501922607;13.829394149780274;11.05591640472412;27.711921644210815;10.837146377563476
ulysses16;0.004426193237304687;0.004748010635375976;0.004117894172668457;0.00470576286315918;0.0038361549377441406;0.0044100284576416016
dsj1000;60.001135897636416;60.00159776210785;60.00151779651642;60.0028881072998;60.0018848657608;60.00142228603363
u724;52.91923387050629;53.69264967441559;46.263752007484435;51.25956304073334;48.75503544807434;53.793823552131656
ch150;0.5709200143814087;0.8818446397781372;0.8536530017852784;0.8626175642013549;0.8498458862304688;0.8712152957916259
d657;38.20691695213318;50.368386316299436;44.908640027046204;36.221608304977416;38.06493632793426;48.11254427433014
C1_4_1;27.286978602409363;23.552290904521943;25.01632422208786;23.628570437431335;22.42868310213089;27.592142462730408
C1_2_7;8.408569514751434;7.5627839207649235;8.30994235277176;6.307683992385864;6.847006678581238;7.022692418098449
C1_4_10;32.12632933855057;26.669318127632142;29.686224353313445;28.675885593891145;27.60509753227234;28.06930681467056
C1_4_2;29.200434160232543;25.462787640094756;26.067577683925627;27.485592579841615;28.111163008213044;28.482051610946655
C1_4_9;31.04405243396759;26.998087227344513;25.69343947172165;23.931641042232513;27.243109583854675;23.250003778934477
C1_2_5;5.686446976661682;5.675221347808838;4.566048467159272;4.262335407733917;4.818902838230133;4.07816447019577
C1_2_4;9.578778171539307;5.471427190303802;6.260042786598206;6.104695200920105;6.639179015159607;6.423661208152771
C1_2_8;5.883877217769623;4.928004562854767;4.062495541572571;4.528001606464386;7.017155194282532;4.860916578769684
C1_4_5;29.219139182567595;24.583738589286803;26.53511358499527;22.70915493965149;26.2908567070961;22.196976172924042
C1_6_1;39.0791272521019;37.7337703704834;38.58023501634598;38.52324004173279;37.873557686805725;38.44228612184524
C1_2_3;6.226661503314972;7.106318211555481;6.384141743183136;6.5757624983787535;6.151291024684906;6.343689227104187
C1_6_3;38.97570426464081;37.704095768928525;38.42348349094391;38.40087269544601;37.713590466976164;38.39119433164596
C1_2_10;6.489564204216004;6.113536751270294;5.245927393436432;4.478788542747497;5.792040288448334;4.685569417476654
C1_2_9;8.669166314601899;9.290681731700897;4.304828870296478;6.389496338367462;4.753439557552338;6.756642532348633
C1_2_6;7.303034090995789;5.820419108867645;5.214120423793792;4.58860274553299;4.723645949363709;5.450340259075165
C1_4_6;30.46865314245224;23.92325226068497;28.698436498641968;29.19488639831543;28.686109209060668;26.328648447990417
C1_4_4;32.45906312465668;30.02628743648529;28.8847674369812;30.393955278396607;31.877685213088988;30.911068177223207
C1_2_2;6.176897311210633;5.222367727756501;7.036627495288849;7.261274755001068;6.725259602069855;5.201521384716034
C1_6_5;38.89866079092026;37.80661237239838;38.407440316677096;38.422008419036864;37.73720138072967;38.40052081346512
C1_2_1;4.9369912385940555;4.306839191913605;4.105209422111511;3.7442111015319823;4.2508711338043215;4.391532564163208
C1_4_3;32.43020497560501;28.626564931869506;32.113339161872865;30.5288494348526;27.076717245578767;31.058152270317077
C1_6_2;38.89461427927017;37.733006143569945;38.42925419807434;38.42019687891006;37.73654745817184;38.40818549394608
C1_4_7;28.264355850219726;26.719399905204774;25.46480267047882;28.215521717071532;29.71285170316696;28.054155564308168
C1_6_4;38.8759241938591;37.69565918445587;38.38572523593903;1366.3100388646126;37.690553510189055;38.370660758018495
C1_4_8;32.023856019973756;26.368886756896973;25.332342529296874;27.546166002750397;26.55061618089676;26.756676542758942
HFVRP_4;0.3758238792419434;0.25443928241729735;0.31879243850708006;0.31991722583770754;0.2885010004043579;0.24870736598968507
HFVRP_p14;7.294938802719116;4.883320450782776;4.618586325645447;4.619921135902405;4.875115060806275;4.636406016349793
CVRP_p5;0.44637718200683596;0.48599092960357665;0.3857156276702881;0.4860526084899902;0.4849057912826538;0.48573267459869385
CVRP_4;14.743131422996521;11.68955534696579;13.050454652309417;11.247981214523316;13.339290821552277;9.685674953460694
CVRP_p3;0.17112987041473388;0.27426843643188475;0.2748183965682983;0.2240983009338379;0.1798569917678833;0.1795560121536255
HFVRP_1;0.22668161392211914;0.131390380859375;0.13726527690887452;0.13698630332946776;0.12959697246551513;0.13735027313232423
CVRP_p14;5.731419515609741;5.2416020154953005;6.239575314521789;6.2317633628845215;5.234882068634033;6.229543519020081
CVRP_1;4.465900921821595;3.346631622314453;3.8982054352760316;3.363038980960846;3.7160165190696715;3.853223419189453
HFVRP_p3;0.3150139331817627;0.2476489543914795;0.2974764585494995;0.2810689926147461;0.2479937791824341;0.2814792633056641
HFVRP_p5;0.48029656410217286;0.4364485263824463;0.5035665988922119;0.5036442518234253;0.4372368097305298;0.5017349243164062
CVRP_3;8.28148992061615;7.135818600654602;6.444774270057678;7.774060225486755;7.004750323295593;5.9987181425094604
CVRP_5;26.264772009849548;20.832656598091127;22.26619236469269;23.525349140167236;25.549834108352663;19.14777889251709
CVRP_2;8.458252763748169;8.282819533348084;7.656287026405335;8.399427652359009;8.650901675224304;8.068235659599305
CVRP_100;0.205220365524292;0.24043428897857666;0.27029762268066404;0.2643556833267212;0.2583596229553223;0.24348373413085939
