Instance;PATH_CHEAPEST_ARC_and_GREEDY_DESCENT;SAVINGS_and_GREEDY_DESCENT;ALL_UNPERFORMED_and_GENERIC_TABU_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;PARALLEL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;PATH_CHEAPEST_ARC_and_SIMULATED_ANNEALING
CVRP_3;16.27719455673581;16.038456860042754;16.424727082252502;16.669609463214876;16.093810844421387;15.120125634329659
CVRP_5;49.7283639550209;50.15286340713501;49.050212144851685;49.015609812736514;49.013876664638516;48.039532041549684
CVRP_2;12.559874641895295;13.806572961807252;12.423999404907226;13.018253195285798;12.201525402069091;12.189823687076569
CVRP_100;0.06716173123090695;0.07080642382303874;0.11404412984848022;0.07037753325242263;29.290690911121857;29.28876720330654
CVRP_4;25.52790163065258;24.676019411338004;45.82126487493515;25.102367237994546;53.010241521032235;52.09288865014126
CVRP_1;7.382000388325872;8.186787263767139;11.831510627269745;6.545728735021643;34.61190157967645;35.10083582594588
att48;0.09894970059394836;0.13405576348304749;600.0556063652039;0.10253217816352844;60.00027769804001;60.000250309705734
pr76;0.4267144468095567;0.41360510720147026;600.053346157074;0.3128961986965603;60.00025972723961;60.00021272235446
pr107;0.3969516158103943;0.7369017899036407;600.329110622406;0.2950410544872284;60.00032126903534;60.00039008259773
st70;0.2065495252609253;0.3658549189567566;600.074872970581;0.23655050992965698;60.00036600232124;60.000457644462585
ulysses22;0.013300180435180664;0.009462565183639526;600.040807723999;0.009655296802520752;60.000110387802124;60.00012627243996
rd100;0.4855329990386963;0.6157486140727997;653.6599802970886;0.8025617301464081;60.00040087103844;60.00017437338829
d493;30.934353291988373;29.881200522184372;914.5662188529968;28.86142611503601;60.00132644176483;63.93277528882027
dsj1000;60.00220092137655;60.00246316194534;32009.280819892883;60.00219011306763;60.00204428037008;60.00158084763421
u724;56.76078826189041;59.706501841545105;110865.36591053009;60.00133886933327;60.001523627175224;60.00103238224983
ch150;1.7088902592658997;0.7189551293849945;7616.663982868195;1.9993959367275238;60.00077611207962;60.00020509958267
d657;40.666869431734085;45.51431229710579;51228.208503723145;59.71402457356453;60.00140181183815;60.000831097364426
pr124;0.8631037771701813;1.2450703893389021;2220.005314350128;0.9400857176099505;61.0003114768437;60.0002858042717
C1_4_1;45.06359631419182;35.38099603652954;43.397874331474306;43.72192794084549;53.15637689232826;52.939700758457185
C1_2_7;8.582930616430334;6.716175053570722;11.467314445972443;6.993256768664798;34.11709782239553;35.6008385967564
C1_4_10;47.56083904085933;34.03404431085329;30.079380881786346;44.53972612200557;50.15633447750194;54.128594218073665
C1_4_2;43.10098049447343;30.709023482090718;41.172233855724336;43.36034942962028;50.12756035134599;48.41540086591566
C1_4_9;42.88842790835613;36.69403825579463;32.394141054153444;44.100661935033024;49.15706414789767;52.2620317420444
C1_2_5;9.507890450954438;7.587631469964981;32.5416320681572;8.19050058722496;62.0990715444088;46.333028787374495
C1_2_4;18.73181614279747;12.128656154870987;35.79048483371734;13.290930193662643;47.17418549656868;47.39420720338821
C1_2_8;13.265245741605758;7.887017065286637;32.80079149007797;8.64906820654869;46.388612645864484;46.71957032084465
C1_4_5;44.084052111651445;33.96142634185585;37.54213026762009;43.75643463392515;45.95940646609745;49.176342055604266
C1_6_1;60.32228127121925;59.78086502552033;59.258967101573944;60.73099650740623;60.868609035015105;60.41728883981705
C1_2_3;9.307244314087761;8.70514447821511;11.753338372707367;9.335938029819065;33.553099612394966;32.95430292685827
C1_6_3;61.08900433182716;59.98925890922546;59.50646830797196;60.503686654567716;60.50935438871384;63.290738916397096
C1_2_10;8.790878223048317;6.816671689351399;10.646173429489135;7.033184167316982;32.02375581605094;32.592207292715706
C1_2_9;9.310568169185094;6.902911867414202;10.41834615468979;6.665862458092826;31.77871721812657;31.359866523742674
C1_2_6;11.536551084273901;9.628531963397295;32.211299693584444;7.11775340178074;46.2900974383721;46.86721567007211
