Instance;CHRISTOFIDES_and_GENERIC_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_TABU_SEARCH;PATH_CHEAPEST_ARC_and_SIMULATED_ANNEALING
p3;11.77610787153244;12.43411626815796;11.840161383152008
p6;15.019681751728058;14.95485497713089;14.926359665393829
p19;17.086169385910033;17.593459641933443;15.696672224998474
p5;15.79116336107254;15.864398634433746;15.777168655395508
p1;11.603671133518219;10.607828760147095;10.415721619129181
p31;0.02930251359939575;0.024318158626556396;0.02312009334564209
p15;10.649729895591737;10.875652682781219;10.524867713451385
p20;20.00110082626343;19.9517765045166;20.000872445106506
p4;16.14602814912796;16.149353396892547;16.1446572303772
p2;11.602320611476898;10.603118824958802;10.415322327613831
C1_4_1;24.494992399215697;24.231561994552614;23.923932945728303
C1_2_7;5.038178324699402;3.7081363797187805;5.922688579559326
C1_4_10;32.1235448718071;33.35074210166931;33.56046179533005
C1_4_2;29.299241805076598;29.42894184589386;28.864079880714417
C1_4_9;28.839924013614656;32.31107292175293;33.09884634017944
C1_2_5;5.256050848960877;6.51079283952713;6.44165962934494
C1_2_4;6.242253994941711;7.060059535503387;7.566428601741791
C1_2_8;4.911223065853119;5.482447826862336;5.54415317773819
C1_4_5;27.79671174287796;23.80509421825409;22.332128977775575
C1_6_1;37.006574594974516;37.24171031713486;38.41793894767761
C1_2_3;6.693337261676788;6.289814734458924;5.8134284019470215
C1_6_3;36.955507445335385;36.84127725362778;38.80364618301392
C1_2_10;6.927153217792511;5.678051209449768;7.85399581193924
C1_2_9;7.762668478488922;7.676893472671509;8.026271069049836
C1_2_6;4.228588104248047;4.28772132396698;6.758924388885498
C1_4_6;31.45618268251419;22.577405714988707;26.004255986213686
C1_4_4;34.181255435943605;32.07001777887344;33.89180600643158
C1_2_2;5.28624142408371;6.30936188697815;6.199615406990051
C1_6_5;37.01250183582306;36.98555577993393;38.76574356555939
C1_2_1;3.8122689366340636;3.487825059890747;3.7478479981422423
C1_4_3;33.669058406352995;31.055486822128294;31.702501106262208
C1_6_2;37.11274380683899;36.759823858737946;38.48225821256638
C1_4_7;26.46323229074478;29.638361382484437;25.22245545387268
C1_6_4;37.12600948810577;37.238217449188234;38.80353614091873
C1_4_8;29.309174120426178;26.532181644439696;28.467735850811003
CVRP_3;20.000174117088317;19.03857707977295;19.03467357158661
CVRP_5;20.000396490097046;20.000340080261232;20.00022156238556
CVRP_2;18.316263699531554;18.574306869506835;18.574003744125367
p16;20.00060613155365;20.000423097610472;20.000574278831483
CVRP_100;0.11436872482299805;0.09573614597320557;0.09583845138549804
p18;20.00065588951111;20.001304984092712;20.000975370407104
p17;20.000482177734376;20.000308442115784;20.000596928596497
p12;20.000438737869263;20.00165274143219;20.000495171546937
p11;20.000235962867738;20.00019738674164;20.000591135025026
CVRP_4;10.171118772029876;10.149647915363312;10.162380170822143
CVRP_1;9.57866848707199;9.833156454563142;9.82646861076355
HFVRP_4;0.34771249294281004;0.28270161151885986;0.3397165536880493
HFVRP_p14;10.266969704627991;10.255831408500672;11.138696885108947
CVRP_p5;0.45355045795440674;0.4197565793991089;0.5798820972442627
CVRP_p3;0.28011360168457033;0.2210857391357422;0.257354736328125
HFVRP_1;0.13757941722869874;0.12623331546783448;0.2286698341369629
CVRP_p14;12.594511342048644;12.801018261909485;12.409194087982177
HFVRP_p3;0.2419421911239624;0.30212700366973877;0.17766761779785156
HFVRP_p5;0.5921453952789306;0.4253657579421997;0.6815240859985352
att48;0.06492631435394287;0.06827826499938965;0.05768003463745117
pr76;0.25750017166137695;0.40348894596099855;0.3795237302780151
pr107;0.6490608215332031;0.5817678928375244;0.5725554466247559
st70;0.11126453876495361;0.13310594558715821;0.13359901905059815
ulysses22;0.008625078201293945;0.005887413024902343;0.005949234962463379
rd100;0.4357405185699463;0.46257967948913575;0.5577549695968628
pr124;0.3528439044952393;0.541579270362854;0.5378290414810181
d493;14.851385188102721;15.32345871925354;12.527992653846741
ulysses16;0.0027395963668823244;0.0029789209365844727;0.002745532989501953
dsj1000;15.50148527622223;15.501669430732727;15.501409077644348
u724;15.50092809200287;15.503294944763184;15.501142358779907
ch150;1.2779976367950439;1.3141594409942627;1.3336248874664307
d657;15.501028108596802;15.500964689254761;15.500818920135497
p13;20.000914335250854;19.999772548675537;20.000637769699097
