Instance;FIRST_UNBOUND_MIN_VALUE_and_SIMULATED_ANNEALING;SAVINGS_and_GREEDY_DESCENT;ALL_UNPERFORMED_and_GENERIC_TABU_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;FIRST_UNBOUND_MIN_VALUE_and_GENERIC_TABU_SEARCH
CVRP_3;8.685992980003357;8.868925309181213;8.350582122802734;8.85797598361969;7.226868033409119
p3;14.816328262027941;19.104686975479126;16.234808244203265;15.712251362047697;16.18297569375289
p1;5.443439094643844;5.393605583592465;5.7168667567403695;5.28674128181056;5.750706333863108
CVRP_5;37.9560653924942;40.30526287555695;38.098870968818666;38.03117437362671;37.92544844150543
p31;0.02602380200436241;0.02782329760099712;0.026018719924123662;0.025047929663407176;0.024405316302650852
CVRP_2;8.01566948890686;8.001606225967407;8.376791429519653;8.400216031074525;7.772899317741394
CVRP_100;28.48657397220009;0.07343090207953203;0.12188208103179932;0.07452587077492162;28.486046427174617
p2;5.000173631467317;5.630217702765214;4.447178439090126;3.9127194755955745;5.397053668373509
CVRP_4;33.48471112251282;18.33181071281433;31.641221499443056;18.99251545800103;31.67943994998932
CVRP_1;29.262778899248907;4.543540617998908;7.732169675827026;4.654162014231963;29.258771461599014
C1_4_1;40.64171161651611;25.596541261672975;26.78367087841034;37.48250298500061;40.223425483703615
C1_2_7;28.041134722092572;4.559504971784704;5.299203252792358;5.907255214803359;28.547876568401563
C1_4_10;48.43897417012383;32.02210761519039;21.898736786842345;36.28111140868243;48.28426895422094
C1_4_2;50.74609811165754;24.320628376568067;30.579459524154665;40.2374266315909;77.02869934194229
C1_4_9;51.51004524791942;33.00516163601595;27.16301929950714;37.31694206069498;45.759654816459204
C1_2_5;32.63021498918533;6.906404042243958;5.040426516532898;5.0499713063240055;32.52269704341889
C1_2_4;35.20400804281235;8.661057925224304;11.557255816459655;7.370312595367432;34.187975680828096
C1_2_8;32.89746776819229;5.748417556285858;5.598132061958313;5.547142291069031;32.80183767080307
C1_4_5;48.34986762439503;29.75427759394926;29.774298095703124;39.58581352233887;43.45010603175444
C1_6_1;59.900755727291106;57.90424336194992;57.991083693504336;60.72006182670593;59.61022913455963
C1_2_3;28.145377680659294;9.173141106963158;7.920053720474243;7.68923707306385;27.916878819465637
C1_6_3;59.9445765376091;58.88218040466309;58.78501570224762;60.342715322971344;59.9259628534317
C1_2_10;28.155990660190582;7.22577328979969;8.096059107780457;4.592209503054619;28.239885672926903
C1_2_9;27.405823826789856;6.863504156470299;8.167056655883789;5.198360040783882;27.696889221668243
C1_2_6;34.435478842258455;5.489479684829712;4.419275331497192;4.499329149723053;33.21414484977722
C1_4_6;37.612270936369896;31.8383037596941;23.32287018299103;37.43661814928055;48.21692255139351
C1_4_4;47.34758239984512;27.773542761802673;26.8338981628418;43.30380847454071;58.0898021697998
C1_2_2;26.931822583079338;6.251897811889648;5.704056668281555;6.924652084708214;26.541284948587418
C1_6_5;59.53444284200668;56.72259132564068;60.04782807826996;60.129969492554665;58.99775068461895
C1_2_1;32.91858967542648;5.443095242977142;6.350566625595093;6.327936410903931;33.26213014125824
C1_4_3;40.20424672961235;34.07988500595093;27.069996333122255;31.796363919973373;44.293243661522865
C1_6_2;59.76787060499191;57.55009417533874;60.005398464202884;60.60983598232269;60.02343715429306
C1_4_7;44.12706017494202;28.512437134981155;28.64611530303955;32.29154194891453;38.98393888771534
C1_6_4;60.00601714849472;56.96279314160347;59.4172664642334;60.5640300065279;60.01779380440712
C1_4_8;49.261065530776975;26.334719451268516;34.468452548980714;39.01513811747233;44.185731665293375
p6;11.609175300598144;11.60955994129181;11.663725352287292;11.609455561637878;11.609747314453125
p19;14.407487750053406;24.314187669754027;18.89574451446533;14.417948722839355;18.91118793487549
p5;15.246967434883118;15.83066680431366;13.524768710136414;15.227360224723816;13.513625478744506
p15;0.771221923828125;2.448726511001587;0.7789816617965698;0.7702114343643188;0.7707920074462891
HFVRP_4;600.3153920173645;1.6242824792861938;600.3153920173645;1.020854264497757;600.3153920173645
HFVRP_p14;602.0190668106079;22.101742774248123;602.0190668106079;27.445163547992706;602.0190668106079
CVRP_p5;13080.056962966919;1.7431314289569855;13080.056962966919;1.7500399947166443;13080.056962966919
CVRP_p3;60.00049604688372;1.3334742614201136;600.2019453048706;0.7651035445077079;60.00039645603725
HFVRP_1;600.1503252983093;0.4466438889503479;600.1503252983093;0.42392975091934204;600.1503252983093
CVRP_p14;60.001015573740005;24.783266752958298;22137.081971168518;26.94962576031685;60.00120344758034
HFVRP_p3;7696.0488176345825;0.810418426990509;7696.0488176345825;1.1994534134864807;7696.0488176345825
HFVRP_p5;600.2647972106934;1.4865006804466248;600.2647972106934;2.2291468381881714;600.2647972106934
att48;48.02927875518799;0.21034657955169678;0.16101288795471191;0.11610872745513916;48.040013027191165
pr76;48.21846733093262;0.5429651520468972;1.9460419416427612;0.5597853227095171;48.385072684288026
st70;43.70181820609353;0.44064879417419434;0.7911348342895508;0.3049093376506459;43.97565239126032
rd100;43.94260356642983;0.6394543647766113;2.029177188873291;1.2037855495106091;44.01941440322182
dsj1000;60.002421855926514;60.003339767456055;60.01357614994049;60.002960963682696;60.00322549343109
u724;59.0892448425293;59.766042304039004;60.00407922267914;60.00188252925873;60.00183298371055
ch150;47.05731020371119;3.6568053635683926;7.906710068384807;3.955253015864979;48.123957673708595
d657;60.003462466326624;49.46678686141968;60.00450213750204;59.792788527228616;60.00459395755421
pr107;53.42276374499003;0.8402366638183594;1.676919937133789;0.35211994912889266;53.42090818617079
ulysses22;53.33747943242391;0.010557519065009223;0.03372907638549805;0.012255377239651151;53.338395304150055
pr124;52.95314338803291;1.237043023109436;3.7202653884887695;1.3826984763145447;52.936263501644135
d493;57.938927200105454;28.6383355723487;44.19402289390564;29.077185286415947;60.00142007403903
ulysses16;52.50137549638748;0.008816778659820557;0.00854039192199707;0.007441461086273193;52.50140678882599
