Instance;LOCAL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;PATH_CHEAPEST_ARC_and_SIMULATED_ANNEALING;EVALUATOR_STRATEGY_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_ARC_and_SIMULATED_ANNEALING;FIRST_UNBOUND_MIN_VALUE_and_SIMULATED_ANNEALING;GLOBAL_CHEAPEST_ARC_and_SIMULATED_ANNEALING;CHRISTOFIDES_and_SIMULATED_ANNEALING;SAVINGS_and_SIMULATED_ANNEALING;PARALLEL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;SEQUENTIAL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_COST_INSERTION_and_SIMULATED_ANNEALING;PATH_MOST_CONSTRAINED_ARC_and_SIMULATED_ANNEALING;SWEEP_and_SIMULATED_ANNEALING;BEST_INSERTION_and_SIMULATED_ANNEALING;ALL_UNPERFORMED_and_SIMULATED_ANNEALING
C1_4_1;29.415699887275697;28.71817030906677;20.581684136390685;22.65446355342865;20.878277039527894;20.197993755340576;29.259799909591674;30.21728398799896;22.74325273036957;21.419118452072144;31.626064896583557;28.110445380210876;28.475733041763306;19.86614532470703;30.835300612449647
C1_2_7;5.388877129554748;6.495932507514953;4.2871310949325565;7.587058711051941;5.588253402709961;6.376377892494202;5.614861464500427;6.248931932449341;5.213102531433106;6.5386310577392575;4.208926439285278;5.211707377433777;7.543445491790772;6.47026686668396;6.298368763923645
C1_4_10;28.780310773849486;44.63664820194244;37.7155615568161;31.09731900691986;40.05325090885162;39.08663649559021;45.4748740196228;33.435107421875;41.50045866966248;40.66681525707245;32.10188262462616;43.844428753852846;53.26887905597687;39.22830266952515;45.60514929294586
C1_4_2;34.298384165763856;28.561904525756837;34.86768114566803;47.254287528991696;43.91348299980164;31.963482332229614;32.91079576015473;26.96240723133087;38.477149391174315;32.63024854660034;34.80500764846802;36.61320419311524;31.460136818885804;36.35424678325653;35.96768860816955
C1_4_9;39.62288689613342;49.0722815990448;38.930619597435;46.43215036392212;45.25746216773987;29.17891812324524;36.56064486503601;43.91982538700104;49.498418593406676;46.97338149547577;28.092215752601625;46.74377534389496;32.832857084274295;39.60970573425293;23.188731646537782
C1_2_5;5.0929014682769775;5.208025550842285;5.213992047309875;8.516866278648376;5.156086349487305;4.8741730690002445;8.727358174324035;8.432514691352845;5.037179756164551;8.671127820014954;8.667039966583252;8.807015252113342;4.9957421064376835;8.892098832130433;5.008184027671814
C1_2_4;9.373736834526062;9.395080637931823;9.27483811378479;8.595353698730468;10.326510906219482;6.942356061935425;9.484969544410706;11.00767023563385;10.758682084083556;10.243787789344788;10.062596440315247;11.79466154575348;6.851582622528076;8.062015724182128;10.250373077392577
C1_2_8;5.411906790733338;6.717842698097229;7.656894302368164;6.714014768600464;5.68066520690918;5.409481143951416;6.511248230934143;6.9337478399276735;5.564819645881653;6.701891684532166;6.418570566177368;5.6314534664154055;5.40325767993927;6.870243954658508;5.441947793960571
C1_4_5;38.61035578250885;35.86532390117645;39.21310181617737;40.451312971115115;39.81625597476959;39.6072359085083;39.23150827884674;38.84915583133697;39.00660684108734;39.18206949234009;39.08078284263611;39.253649067878726;39.88369617462158;39.49906780719757;39.624766325950624
C1_6_1;59.23257036209107;56.9158034324646;56.949760627746585;59.943805408477786;59.723645663261415;58.175571751594546;57.312896084785464;58.2264039516449;59.2131228685379;58.42184913158417;57.17153561115265;57.77062032222748;57.92128579616546;55.53625664710999;59.074606847763064
