Instance;LOCAL_CHEAPEST_COST_INSERTION_and_TABU_SEARCH;BEST_INSERTION_and_SIMULATED_ANNEALING;GLOBAL_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_GREEDY_DESCENT;ALL_UNPERFORMED_and_GENERIC_TABU_SEARCH
C1_4_1;25.69468469619751;19.86614532470703;22.02826280593872;25.7373868227005;26.78367087841034
C1_2_7;7.455248546600342;6.47026686668396;5.534521293640137;5.424698805809021;5.299203252792358
C1_4_10;31.485353922843935;39.22830266952515;28.3457790851593;29.02896943092346;21.898736786842345
C1_4_2;36.99221391677857;36.35424678325653;33.63361709117889;34.43230812549591;30.579459524154665
C1_4_9;28.006574845314027;39.60970573425293;48.10593416690826;45.138912200927734;27.16301929950714
C1_2_5;5.0472914457321165;8.892098832130433;8.708867406845092;5.008498930931092;5.040426516532898
C1_2_4;9.602945137023926;8.062015724182128;8.43110544681549;9.239345669746399;11.557255816459655
C1_2_8;5.573575329780579;6.870243954658508;6.846198844909668;5.753647017478943;5.598132061958313
C1_4_5;26.165318512916564;39.49906780719757;35.44285545349121;34.85820782184601;29.774298095703124
C1_6_1;57.491788029670715;55.53625664710999;58.55849666595459;59.31514451503754;57.991083693504336
C1_2_3;7.934331941604614;7.237806701660157;7.1668939113616945;7.849268651008606;7.920053720474243
C1_6_3;59.917823505401614;59.51954851150513;60.004713606834414;59.94351975917816;58.78501570224762
C1_2_10;4.928201174736023;4.968020081520081;4.360754132270813;7.6560293674469;8.096059107780457
C1_2_9;6.918746423721314;7.862553930282592;6.717811560630798;6.843689966201782;8.167056655883789
C1_2_6;4.42551543712616;5.6865962266922;5.587170481681824;4.432000541687012;4.419275331497192
C1_4_6;33.86317081451416;26.760049271583558;34.5905999660492;32.11665525436401;23.32287018299103
C1_4_4;32.65639955997467;46.50385715961456;20.66716089248657;41.58625638484955;26.8338981628418
C1_2_2;6.363160729408264;6.245276522636414;6.654412245750427;6.931768584251404;5.704056668281555
C1_6_5;58.490723395347594;58.99703176021576;58.76101706027985;59.015196800231934;60.04782807826996
C1_2_1;6.3451050281524655;5.0500324010849;4.8541007995605465;6.972555804252624;6.350566625595093
C1_4_3;24.17266113758087;25.375731229782104;38.01953673362732;25.528367280960083;27.069996333122255
C1_6_2;59.873447728157046;60.00533127784729;59.54513132572174;59.81476845741272;60.005398464202884
C1_4_7;41.00986402034759;24.37676329612732;22.388581657409667;35.178957843780516;28.64611530303955
C1_6_4;60.038456439971924;59.49513244628906;59.9223623752594;58.49695744514465;59.4172664642334
C1_4_8;33.33100473880768;30.53514721393585;37.457734441757204;36.94808344841003;34.468452548980714
