Instance;LOCAL_CHEAPEST_ARC_and_GREEDY_DESCENT;GLOBAL_CHEAPEST_ARC_and_GREEDY_DESCENT;SEQUENTIAL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;SWEEP_and_GREEDY_DESCENT;LOCAL_CHEAPEST_COST_INSERTION_and_GREEDY_DESCENT;ALL_UNPERFORMED_and_GREEDY_DESCENT;PATH_CHEAPEST_ARC_and_GREEDY_DESCENT;FIRST_UNBOUND_MIN_VALUE_and_GREEDY_DESCENT;BEST_INSERTION_and_GREEDY_DESCENT;SAVINGS_and_GREEDY_DESCENT;PARALLEL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;PATH_MOST_CONSTRAINED_ARC_and_GREEDY_DESCENT;CHRISTOFIDES_and_GREEDY_DESCENT;LOCAL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;EVALUATOR_STRATEGY_and_GREEDY_DESCENT
C1_4_1;27.282611703872682;20.17230429649353;26.87565133571625;18.52692461013794;26.251362609863282;27.256508708000183;29.952937602996826;25.7373868227005;20.240910911560057;28.68953433036804;27.653861951828002;30.574335670471193;28.300506067276;28.499613308906554;20.26477715969086
C1_2_7;6.4996413230896;5.530413699150086;5.765055584907532;6.570448684692383;6.137217688560486;4.296550464630127;6.790885543823242;5.424698805809021;6.342136001586914;5.258230257034302;7.599599981307984;6.119083261489868;5.353883457183838;6.320991587638855;6.166842675209045
C1_4_10;40.510444450378415;41.098545002937314;40.67063574790954;37.224154925346376;40.97223420143128;48.091623640060426;40.3630749464035;29.02896943092346;31.451798963546754;41.95950722694397;31.625902366638183;29.56999032497406;35.720089077949524;36.99431464672089;40.96024990081787
C1_4_2;37.50494792461395;35.16035275459289;27.411387062072755;39.80196435451508;32.8802757024765;32.84128453731537;36.956901741027835;34.43230812549591;30.01382851600647;29.57535183429718;39.91154010295868;34.88860507011414;29.310395812988283;38.70087358951569;46.97457604408264
C1_4_9;35.967656111717226;39.256219553947446;27.013114976882935;32.79590647220611;41.00132462978363;39.165970253944394;37.32218096256256;45.138912200927734;37.40296921730042;40.6465744972229;32.88767812252045;32.216172671318056;30.276645970344543;25.675558853149415;32.796217918395996
C1_2_5;8.63287444114685;4.989033985137939;8.69300889968872;4.8632666110992435;8.818420481681823;5.1335124492645265;5.222815155982971;5.008498930931092;8.65513243675232;8.842609524726868;4.879926013946533;8.685482668876649;8.486083459854125;5.212620544433594;4.8841898202896115
C1_2_4;10.966113686561584;7.3813905954360965;8.463697052001953;12.013963556289672;8.118438982963562;7.06391294002533;14.133077049255371;9.239345669746399;9.021328282356261;12.13956081867218;8.613414239883422;12.25511929988861;8.120325326919556;10.86810290813446;9.678716731071471
C1_2_8;6.43246545791626;5.441181206703186;6.402000784873962;5.540236258506775;7.065065264701843;5.532608962059021;7.45606381893158;5.753647017478943;6.736445331573487;6.375381302833557;5.601317381858825;4.351827311515808;6.696236252784729;5.537378978729248;6.015670680999756
C1_4_5;36.23091349601746;35.551796078681946;35.32665112018585;34.96221172809601;34.74058377742767;35.75811517238617;31.92461988925934;34.85820782184601;35.03345904350281;35.65517480373383;35.88724150657654;35.80999481678009;35.33084802627563;35.342482805252075;34.9292427778244
C1_6_1;55.55734243392944;58.32791845798492;56.84283113479614;58.78534283638;58.647914505004884;59.19503211975098;60.00320751667023;59.31514451503754;59.007370710372925;58.16462295055389;59.897897243499756;59.14242305755615;57.05564985275269;59.06172006130218;58.72177803516388
C1_2_3;7.7264025688171385;8.987833952903747;9.363556265830994;9.825589323043824;8.749733543395996;8.626376914978028;8.912281346321105;7.849268651008606;7.283789443969726;11.89144787788391;9.504594016075135;7.755614542961121;7.164441680908203;8.562061047554016;7.983309435844421
C1_6_3;60.00360271930695;59.6641384601593;60.004530739784244;60.00327119827271;60.00335202217102;59.99800927639008;60.007156825065614;59.94351975917816;60.00406773090363;59.73278529644013;60.00569596290588;59.9390264749527;60.004723119735715;60.00353152751923;59.95957660675049
C1_2_10;5.869855761528015;9.860389685630798;8.084375381469727;8.094678950309753;8.046099543571472;9.196294617652892;8.761665844917298;7.6560293674469;9.663125729560852;8.704986643791198;4.504929566383362;9.26142954826355;6.813240694999695;9.171200823783874;6.217646288871765
C1_2_9;8.453361916542054;7.600497007369995;7.5896363973617555;8.208178186416626;6.894281482696533;7.7811747789382935;8.1124187707901;6.843689966201782;7.115748190879822;8.631878232955932;5.938776874542237;7.382354593276977;7.940097904205322;8.264135360717773;7.185179352760315
C1_2_6;6.803767514228821;8.930484056472778;4.257156157493592;7.239117455482483;5.775595784187317;9.285430765151977;6.107956743240356;4.432000541687012;6.820777487754822;5.889060688018799;4.458121013641358;5.294149804115295;5.824145865440369;6.42038733959198;7.976998615264892
C1_4_6;37.65339870452881;26.3203675031662;44.3846616268158;36.34182059764862;35.739025235176086;36.21971681118011;44.235976338386536;32.11665525436401;32.85414173603058;39.37097668647766;33.51253452301025;29.037902426719665;34.20657565593719;27.956745314598084;34.43153619766235
C1_4_4;36.8946870803833;29.32919535636902;21.338246178627013;36.793218064308164;34.62164132595062;59.24525184631348;44.656116533279416;41.58625638484955;24.748917198181154;30.43433964252472;39.55330080986023;34.12371830940246;32.12015483379364;27.09332823753357;38.100321078300475
C1_2_2;6.560940194129944;6.001506567001343;10.141535687446595;5.374679684638977;7.24064199924469;5.115787982940674;8.549248003959656;6.931768584251404;7.210612416267395;7.701181507110595;8.692134428024293;5.3168011665344235;6.462782859802246;5.428083705902099;6.789827442169189
C1_6_5;58.90484268665314;58.57215352058411;58.20900402069092;58.56779506206512;59.22741775512695;60.01163237094879;60.00462794303894;59.015196800231934;59.34769427776337;59.61365072727203;58.87308440208435;60.044014835357665;58.85045692920685;58.94996726512909;59.933872151374814
C1_2_1;5.372216987609863;5.904692506790161;4.889583992958069;5.686447167396546;5.9094167947769165;7.0560805082321165;6.6160554647445675;6.972555804252624;4.520278215408325;5.9179833173751835;5.719256329536438;5.0313843250274655;5.373455357551575;6.582715964317321;6.483548784255982
C1_4_3;36.56370134353638;40.2528881072998;24.836630153656007;37.28166267871857;35.285779285430905;27.358156847953797;35.579875230789185;25.528367280960083;54.09226517677307;43.610902190208435;25.104363656044008;51.9271903514862;35.54272663593292;40.32882652282715;39.19478101730347
C1_6_2;59.900273180007936;59.90399560928345;59.89645879268646;59.55993673801422;59.736793112754825;59.89010694026947;60.038923382759094;59.81476845741272;59.19974358081818;59.70411140918732;59.987784838676454;60.004027700424196;60.00375201702118;59.94485104084015;59.9936023235321
C1_4_7;35.98917987346649;27.214452171325682;37.85542883872986;28.84982681274414;39.62857291698456;23.757865738868713;33.27490267753601;35.178957843780516;28.72331097126007;35.225685834884644;26.378715991973877;37.607941484451295;35.16275908946991;40.54364998340607;31.22974932193756
C1_6_4;59.59354834556579;59.9920150756836;59.71138157844543;59.338450360298154;59.67940728664398;59.63665969371796;60.004274344444276;58.49695744514465;59.02051627635956;59.928429794311526;59.981063747406004;60.004531025886536;60.00391411781311;58.034863567352296;59.24884796142578
C1_4_8;37.429749321937564;45.69994831085205;28.591868472099303;36.27735846042633;35.90362017154693;34.03598666191101;43.39427223205566;36.94808344841003;50.68538620471954;30.78540689945221;38.18479738235474;34.18229217529297;36.975774908065794;28.46070513725281;32.46853623390198
