Instance;BEST_INSERTION_and_TABU_SEARCH;ALL_UNPERFORMED_and_TABU_SEARCH;GLOBAL_CHEAPEST_ARC_and_TABU_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_TABU_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_TABU_SEARCH;LOCAL_CHEAPEST_ARC_and_TABU_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_TABU_SEARCH;CHRISTOFIDES_and_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_TABU_SEARCH;SWEEP_and_TABU_SEARCH;PATH_CHEAPEST_ARC_and_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_TABU_SEARCH;EVALUATOR_STRATEGY_and_TABU_SEARCH;SAVINGS_and_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_and_TABU_SEARCH
C1_4_1;31.064198541641236;26.55991396903992;30.722863221168517;22.429570746421813;25.097899174690248;25.833344984054566;25.69468469619751;21.48491277694702;30.576780581474303;27.395390510559082;21.89293553829193;22.22422811985016;27.175697779655458;31.15427167415619;21.245090627670287
C1_2_7;6.484002208709716;5.158613991737366;5.654816269874573;6.168584084510803;5.261977219581604;6.499302625656128;7.455248546600342;6.439833927154541;6.30046694278717;6.286215114593506;4.42749719619751;4.311215472221375;7.58098874092102;5.665980052947998;6.4296444177627565
C1_4_10;36.10393772125244;39.733132004737854;40.82188165187836;41.008850836753844;29.720735573768614;37.663933634757996;31.485353922843935;51.29952869415283;34.023001646995546;42.370421981811525;34.03581581115723;31.547569608688356;47.55917851924896;34.661779975891115;39.728838968276975
C1_4_2;24.941895294189454;39.74889087677002;26.474315690994263;32.66056237220764;26.69706211090088;39.60044174194336;36.99221391677857;32.19609966278076;33.34574561119079;37.64002614021301;43.19330253601074;27.934207248687745;31.229808831214903;43.53544590473175;30.11125111579895
C1_4_9;46.4706387758255;38.30961754322052;43.59945228099823;20.12923409938812;38.79883155822754;24.03375732898712;28.006574845314027;33.206695318222046;30.790488147735594;41.62769768238068;38.423447895050046;36.327814245224;33.0176055431366;35.18747870922088;22.21342525482178
C1_2_5;5.036924552917481;8.931515169143676;8.656750988960265;8.517254853248597;8.700565099716187;4.93654146194458;5.0472914457321165;4.998461031913758;5.244404673576355;8.486430883407593;8.78850302696228;4.969479012489319;9.075538206100465;4.870429062843323;8.616310811042785
C1_2_4;11.839512467384338;11.897618913650513;8.056445646286011;9.705988669395447;9.844509196281432;8.421125197410584;9.602945137023926;8.959009480476379;9.394262599945069;9.374564719200134;7.518265438079834;6.004806637763977;10.661233019828796;15.070799112319946;9.467046475410461
C1_2_8;5.599221324920654;6.361009216308593;6.35772225856781;7.107253003120422;6.824963569641113;5.4715708017349245;5.573575329780579;5.597370195388794;6.875581169128418;6.482287168502808;6.7471212387084964;5.612985587120056;5.22967038154602;5.759097290039063;6.659920310974121
C1_4_5;26.2213014125824;26.658395457267762;26.813435220718382;26.475522017478944;26.664577841758728;26.38550102710724;26.165318512916564;26.885689353942873;26.09556655883789;26.316472864151002;25.891232085227966;26.608230066299438;27.243553853034975;26.477149152755736;26.602708530426025
C1_6_1;57.472348189353944;59.278762340545654;58.31996078491211;57.27333815097809;57.08110535144806;58.544144082069394;57.491788029670715;55.268984127044675;58.747359013557436;56.91867904663086;57.314903020858765;57.80573461055756;59.986994647979735;57.01189317703247;58.98970818519592
C1_2_3;8.919466972351074;8.520987582206725;11.284161567687988;7.535316610336304;8.774562454223632;9.588474869728088;7.934331941604614;9.224575686454774;9.730000805854797;7.157584571838379;11.552926230430604;8.995983481407166;7.275921297073364;8.390655899047852;7.597808241844177
C1_6_3;60.00456557273865;59.77968394756317;60.00520560741425;59.957607531547545;59.95065140724182;60.00528085231781;59.917823505401614;59.707500195503236;59.95406424999237;60.00404982566833;60.004715418815614;59.91960864067077;59.12717795372009;59.99194600582123;59.86932291984558
C1_2_10;8.02513792514801;10.88854501247406;6.531666541099549;7.64768705368042;5.735226011276245;7.5411052942276005;4.928201174736023;8.005216383934021;7.430835342407226;5.97927987575531;5.902965998649597;10.09844524860382;10.030150175094604;7.759581565856934;9.001555681228638
C1_2_9;6.776428365707398;8.522841668128967;8.126235365867615;6.862469291687011;6.69852933883667;8.669875574111938;6.918746423721314;6.516617226600647;9.052896571159362;7.135559225082398;6.212709140777588;8.175995540618896;6.2595624923706055;4.502384924888611;8.92327389717102
C1_2_6;6.53870575428009;4.288642406463623;4.227069139480591;5.573854517936707;5.5882145166397095;6.362578749656677;4.42551543712616;4.401927256584168;6.01395890712738;6.706599450111389;5.200041699409485;8.831821966171265;5.548011350631714;6.706636452674866;6.795585870742798
C1_4_6;36.798106861114505;38.671103072166446;23.015831756591798;32.56551096439362;28.46919732093811;30.063645553588866;33.86317081451416;33.5962797164917;29.916222238540648;37.93109755516052;32.499541234970096;33.9430912733078;40.69986219406128;33.521471643447875;34.15502400398255
C1_4_4;28.796969389915468;37.59612934589386;50.544237995147704;40.839378690719606;29.39496328830719;37.6191379070282;32.65639955997467;49.941823840141296;51.94390957355499;40.81549549102783;42.04438526630402;31.876084899902345;24.955051469802857;54.04048316478729;22.197807788848877
C1_2_2;8.062534809112549;6.954799222946167;7.754301881790161;7.423979663848877;10.09117214679718;5.223430752754211;6.363160729408264;6.408736515045166;6.551108717918396;6.1377709150314335;8.877040791511536;9.465944027900695;5.320178914070129;7.408605670928955;7.078470635414123
C1_6_5;59.514671492576596;59.07949364185333;58.68730990886688;58.51586742401123;59.14464836120605;58.3805451631546;58.490723395347594;58.27181842327118;59.28286263942719;59.323877573013306;59.28799061775207;58.13012788295746;59.281604981422426;60.003844165802;58.98087825775146
C1_2_1;7.335072779655457;5.419451475143433;6.002528214454651;5.397670102119446;4.621833348274231;5.69226655960083;6.3451050281524655;5.745738291740418;5.715287280082703;5.95512580871582;5.63741250038147;5.750659012794495;4.912849378585816;6.695341634750366;4.896658229827881
C1_4_3;25.683743715286255;45.708416438102724;36.43537154197693;33.5549213886261;36.49373550415039;45.55653173923493;24.17266113758087;40.76017789840698;36.60384314060211;37.608979201316835;37.90067954063416;39.601411199569704;34.96634747982025;27.792929339408875;29.24381020069122
C1_6_2;60.046037149429324;60.00641913414002;59.853194046020505;59.907317423820494;59.880375790596005;59.93704967498779;59.873447728157046;60.00353045463562;60.00397644042969;59.7018984079361;59.624800539016725;59.83330888748169;59.745507216453554;59.92483732700348;59.91349067687988
C1_4_7;28.506552863121033;31.122644329071044;34.28714604377747;29.50420038700104;33.91751024723053;34.10199625492096;41.00986402034759;33.57238931655884;32.58533613681793;27.68227846622467;37.23107268810272;25.466601061820985;24.482612085342407;26.65486373901367;25.34678168296814
C1_6_4;60.003584957122804;59.983095741271974;60.00387544631958;59.629733610153195;60.00338683128357;59.31053948402405;60.038456439971924;60.00550229549408;60.00369999408722;59.98443601131439;59.93621108531952;59.614397931098935;60.00756282806397;59.64689221382141;60.009283256530765
C1_4_8;46.77106120586395;31.041626143455506;41.58204245567322;40.617173886299135;27.307909870147704;33.230044436454776;33.33100473880768;28.896306538581847;38.222678899765015;25.39075462818146;31.065998315811157;34.63504018783569;36.44812064170837;32.39275155067444;40.95125184059143
