Instance;CHRISTOFIDES_and_GUIDED_LOCAL_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_GUIDED_LOCAL_SEARCH;SWEEP_and_GUIDED_LOCAL_SEARCH;PATH_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;GLOBAL_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;SAVINGS_and_GUIDED_LOCAL_SEARCH;BEST_INSERTION_and_GUIDED_LOCAL_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_GUIDED_LOCAL_SEARCH;ALL_UNPERFORMED_and_GUIDED_LOCAL_SEARCH;EVALUATOR_STRATEGY_and_GUIDED_LOCAL_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH
C1_4_1;22.354123401641846;26.15743660926819;20.60879728794098;34.31371347904205;31.153250098228455;20.329204416275026;21.79568154811859;22.02826280593872;20.319267010688783;23.949906373023985;21.408693981170654;27.678881192207335;32.2000855922699;29.27419798374176;26.955755877494813
C1_2_7;6.254427051544189;6.393976211547852;4.296653151512146;6.278260445594787;6.519957137107849;4.1849500179290775;5.392506957054138;5.534521293640137;6.157014274597168;5.197199726104737;5.834687018394471;5.148290085792541;7.53352415561676;6.428519868850708;6.4564117908477785
C1_4_10;34.2709397315979;39.26278154850006;45.65551996231079;27.16445634365082;40.77390043735504;31.667056822776793;42.15163009166717;28.3457790851593;38.09145677089691;43.05272080898285;29.0617919921875;36.5459331035614;52.64165279865265;55.915412473678586;40.49414417743683
C1_4_2;34.931333565711974;29.699130725860595;34.36460607051849;43.34354317188263;40.030493879318236;27.910014748573303;35.448561835289;33.63361709117889;37.260285711288454;32.68687744140625;31.783645629882812;27.522518134117128;25.372976088523863;39.00921638011933;36.60367364883423
C1_4_9;41.044813656806944;45.6093052148819;31.825251865386964;42.99589705467224;48.538088417053224;33.60045781135559;33.85680713653564;48.10593416690826;55.6226101398468;43.13901715278625;33.766985988616945;25.50970540046692;32.749966621398926;39.230681681632994;33.82434520721436
C1_2_5;5.094988489151001;8.753752541542053;8.498058605194093;8.81657612323761;4.873775839805603;4.8701025485992435;8.766188645362854;8.708867406845092;8.799634504318238;4.964572453498841;5.181212544441223;5.070263528823853;8.749422287940979;8.813444256782532;5.06908860206604
C1_2_4;9.82370059490204;7.881831097602844;7.255710935592651;9.169953346252441;5.851793885231018;9.283666610717773;13.959838795661927;8.43110544681549;9.859563660621642;10.64235942363739;8.982083749771117;11.234110784530639;10.671496367454528;12.187491297721863;11.302541899681092
C1_2_8;5.547019076347351;6.955922245979309;6.3481768608093265;4.711822199821472;5.717550945281983;5.406706976890564;6.436374235153198;6.846198844909668;6.702118134498596;5.685572695732117;5.591589903831482;4.892841839790345;7.21368899345398;5.725715017318725;5.539834642410279
C1_4_5;35.47936837673187;35.53805718421936;35.61528387069702;28.399952912330626;35.83700704574585;35.44222350120545;35.20898940563202;35.44285545349121;35.2363308429718;36.03061923980713;35.276550102233884;35.87462265491486;35.50086033344269;35.61829798221588;35.43951005935669
C1_6_1;58.350300550460815;57.70475680828095;58.09701228141785;58.56059291362762;58.16192154884338;59.31912338733673;58.25055112838745;58.55849666595459;57.40760669708252;55.95940532684326;59.771077728271486;57.853034591674806;58.52735731601715;54.74097652435303;59.60614347457886
