Instance;PARALLEL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;PARALLEL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;PATH_CHEAPEST_ARC_and_SIMULATED_ANNEALING;EVALUATOR_STRATEGY_and_SIMULATED_ANNEALING
p3;6.519877362251282;6.513003170490265;7.371080696582794;6.802065908908844
p6;24.520418054179142;12.767901081787912;14.464201927185059;19.80384522676468
p19;35.887843179702756;33.54435868263245;40.63192270994186;36.746266865730284
p5;10.945452547073364;17.616107046604156;16.454454398155214;15.804166448116302
p1;1.3279236555099487;1.4772730350494385;1.871549129486084;2.490338313579559
p31;0.028398680686950683;0.028839123249053956;0.0283111572265625;0.027425932884216308
p15;1.62033371925354;1.6196483969688416;2.1564984917640686;1.6293781042098998
p2;1.344873559474945;1.4875162601470948;1.8623631119728088;2.446774685382843
p20;200.05813360214233;200.05813360214233;200.05813360214233;200.05813360214233
p4;129.63239431381226;129.63239431381226;129.63239431381226;129.63239431381226
