Instance;SWEEP_and_TABU_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_TABU_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_TABU_SEARCH;CHRISTOFIDES_and_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_TABU_SEARCH;SAVINGS_and_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_and_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_TABU_SEARCH;LOCAL_CHEAPEST_ARC_and_TABU_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_TABU_SEARCH;BEST_INSERTION_and_TABU_SEARCH;GLOBAL_CHEAPEST_ARC_and_TABU_SEARCH;ALL_UNPERFORMED_and_TABU_SEARCH;PATH_CHEAPEST_ARC_and_TABU_SEARCH;EVALUATOR_STRATEGY_and_TABU_SEARCH
att48;0.0847935438156128;0.06486275196075439;0.06733832359313965;0.06921267509460449;0.0667816162109375;0.06429436206817626;0.06820535659790039;0.06827826499938965;0.066581130027771;0.06648530960083007;0.06668519973754883;0.06953065395355225;0.06574547290802002;0.06541070938110352;0.06950798034667968
pr76;0.3566309690475464;0.15430331230163574;0.25334630012512205;0.4890619993209839;0.35131876468658446;0.3862130641937256;0.37650222778320314;0.40348894596099855;0.3835839509963989;0.4034509420394897;0.3830976963043213;0.3533232927322388;0.5169201612472534;0.558504295349121;0.3597172021865845
pr107;0.6350871324539185;0.5845856904983521;0.6447542667388916;0.5639274597167969;0.5744645357131958;0.5849012136459351;0.7387408018112183;0.5817678928375244;0.5724832534790039;0.6674950838088989;0.5977930307388306;0.6629138946533203;0.6714314222335815;0.6633387804031372;0.7092280387878418
st70;0.11631264686584472;0.13249738216400148;0.1362448215484619;0.13243744373321534;0.13588907718658447;0.14197728633880616;0.11431076526641845;0.13310594558715821;0.13241326808929443;0.1140852689743042;0.1339346170425415;0.120076584815979;0.11213502883911133;0.11187939643859864;0.12468557357788086
ulysses22;0.0059615373611450195;0.007418322563171387;0.006353020668029785;0.006269478797912597;0.005968475341796875;0.005891752243041992;0.005961489677429199;0.005887413024902343;0.0075275182723999025;0.006945061683654785;0.006821942329406738;0.007241058349609375;0.0071667909622192385;0.0059453010559082035;0.005948281288146973
rd100;0.5133232116699219;0.43331222534179686;0.44223794937133787;0.4420830726623535;0.45754544734954833;0.4870652675628662;0.4363254070281982;0.46257967948913575;0.45443341732025144;0.47409777641296386;0.486017632484436;0.44695520401000977;0.4511685848236084;0.5074486017227173;0.4651305675506592
pr124;0.31711041927337646;0.5043662786483765;0.3329923152923584;0.5500536918640136;0.5288196086883545;0.5124932289123535;0.3042911052703857;0.541579270362854;0.5295488357543945;0.32075445652008056;0.5384077310562134;0.31144897937774657;0.3184748888015747;0.3122628450393677;0.3286146879196167
d493;15.500998640060425;14.173029732704162;15.240237498283387;15.054074311256409;15.205262804031372;15.114060974121093;15.482756090164184;15.32345871925354;15.500719499588012;15.501242208480836;15.50095362663269;14.374803400039672;15.256535649299622;15.500408387184143;15.500656938552856
ulysses16;0.0027848482131958008;0.0028572797775268553;0.002803659439086914;0.0027717113494873046;0.002801966667175293;0.0027731180191040037;0.0028730154037475584;0.0029789209365844727;0.002967095375061035;0.003137803077697754;0.0027458906173706056;0.0030071258544921873;0.002756810188293457;0.0029425859451293946;0.0027235984802246095
dsj1000;15.501920199394226;15.501817297935485;15.501552772521972;15.502097654342652;15.501432871818542;15.502404618263245;15.501922941207885;15.501669430732727;15.502032232284545;15.502429056167603;15.502101826667786;15.501631569862365;15.501799058914184;15.501854848861694;15.501816987991333
u724;15.501354098320007;15.501118278503418;15.501346850395203;15.50098147392273;15.501242971420288;15.500932621955872;15.50135259628296;15.503294944763184;15.501398181915283;15.50106966495514;15.500796723365784;15.500879406929016;15.50087080001831;15.501309084892274;15.501009440422058
ch150;1.2847075462341309;1.3540894985198975;1.3925428628921508;1.4056042671203612;1.3690351247787476;1.3455549001693725;1.2747707605361938;1.3141594409942627;1.2725874662399292;1.3792042493820191;1.340972661972046;1.3130075931549072;1.3315847635269165;1.4015656232833862;1.3746770858764648
d657;15.501006817817688;15.500948762893676;15.500962448120116;15.50103931427002;15.500813674926757;15.501323080062866;15.500875425338744;15.500964689254761;15.501104426383971;15.50284914970398;15.500886464118958;15.501083016395569;15.501086735725403;15.500401258468628;15.501085925102235
