Instance;LOCAL_CHEAPEST_COST_INSERTION_and_TABU_SEARCH;SAVINGS_and_SIMULATED_ANNEALING;PATH_CHEAPEST_ARC_and_SIMULATED_ANNEALING;ALL_UNPERFORMED_and_GUIDED_LOCAL_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_GREEDY_DESCENT;CHRISTOFIDES_and_GENERIC_TABU_SEARCH
att48;0.06486275196075439;0.06962831020355224;0.05768003463745117;0.06877686977386474;0.06725521087646484;0.06492631435394287
pr76;0.15430331230163574;0.39118802547454834;0.3795237302780151;0.3975071430206299;0.13062877655029298;0.25750017166137695
pr107;0.5845856904983521;0.6447810888290405;0.5725554466247559;0.6572653532028199;0.6628787994384766;0.6490608215332031
st70;0.13249738216400148;0.12045524120330811;0.13359901905059815;0.11472370624542236;0.11431336402893066;0.11126453876495361
ulysses22;0.007418322563171387;0.005848526954650879;0.005949234962463379;0.006484723091125489;0.005799221992492676;0.008625078201293945
rd100;0.43331222534179686;0.4917714595794678;0.5577549695968628;0.45008461475372313;0.48468551635742185;0.4357405185699463
pr124;0.5043662786483765;0.3070207118988037;0.5378290414810181;0.3545073509216309;0.3157057285308838;0.3528439044952393
d493;14.173029732704162;14.935848164558411;12.527992653846741;14.184621810913086;13.631086397171021;14.851385188102721
ulysses16;0.0028572797775268553;0.0027554988861083984;0.002745532989501953;0.00276486873626709;0.0027802228927612306;0.0027395963668823244
dsj1000;15.501817297935485;15.50150752067566;15.501409077644348;15.501587510108948;15.50208523273468;15.50148527622223
u724;15.501118278503418;15.500870060920715;15.501142358779907;15.500976467132569;15.501168155670166;15.50092809200287
ch150;1.3540894985198975;1.3018126010894775;1.3336248874664307;1.3544142246246338;1.272420597076416;1.2779976367950439
d657;15.500948762893676;15.500628471374512;15.500818920135497;15.500811290740966;15.50072934627533;15.501028108596802
