Instance;PATH_MOST_CONSTRAINED_ARC_and_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_COST_INSERTION_and_GUIDED_LOCAL_SEARCH;SAVINGS_and_GREEDY_DESCENT;LOCAL_CHEAPEST_COST_INSERTION_and_GENERIC_TABU_SEARCH
HFVRP_4;60.00235167145729;60.00045868754387;60.004134237766266;1.6242824792861938;60.001474529504776
HFVRP_p14;60.01207494735718;60.001331984996796;60.00282749533653;22.101742774248123;60.00201657414436
C1_2_6;60.059309697151186;60.16236214637756;60.07701127529144;5.089898681640625;60.05414047241211
CVRP_p5;60.00052583217621;60.00150287151337;61.99892342090607;1.7431314289569855;69.05075374245644
CVRP_4;60.00338253378868;60.00154232978821;60.00292956829071;0.5362038910388947;60.00077563524246
C1_4_1;60.54349188804626;60.66301786899567;60.62743558883667;22.503548192977906;60.46859033107758
C1_6_3;61.114696621894836;62.035502576828;60.0259202003479;58.03157551288605;60.00821404457092
C1_2_1;60.098386073112486;60.02338259220123;60.03557140827179;4.968207168579101;60.06242926120758
CVRP_p3;60.00078797340393;60.00064730644226;60.000368458884104;1.3334742614201136;60.00058838299343
C1_6_2;62.084626936912535;61.992096829414365;60.01210348606109;55.39607694149017;60.0457046508789
C1_4_4;60.61389062404633;60.41822528839111;60.21284730434418;25.112745881080627;60.820139861106874
CVRP_100;60.00022090805901;60.000257359610664;60.00154529677497;0.01815199851989746;60.00000394715203
C1_2_5;60.077897453308104;60.02433729171753;60.00763156414032;4.970198559761047;60.07291531562805
HFVRP_1;60.000372529029846;60.001137644052505;60.001600474119186;0.4466438889503479;60.00054731965065
C1_2_4;60.09904193878174;60.09041690826416;60.0906359910965;5.182555031776428;60.25904633998871
C1_6_1;60.48857955932617;61.35960726737976;60.0197113275528;57.64386377334595;60.02180964946747
CVRP_p14;60.0070096552372;60.001992613077164;60.001445323228836;24.783266752958298;60.00084763765335
C1_2_8;60.18290207386017;60.06272113323212;60.04662652015686;5.121453809738159;60.011942172050475
CVRP_1;60.00047608784267;60.00009536743164;60.00189028467451;0.30929841314043316;60.00322069440569
HFVRP_p3;60.00054705142975;60.00057011842728;60.00064533948898;0.810418426990509;64.5023601949215
HFVRP_p5;60.000763177871704;60.0054976940155;60.001984655857086;1.4865006804466248;60.000601798295975
C1_4_9;60.38788267544338;60.41133281162807;60.15137318202427;22.088857548577444;60.403202056884766
C1_2_7;60.11232212611607;60.07124965531485;60.001953431538176;3.5613259928567067;60.0955034664699
C1_4_10;60.0013941356114;60.69504356384277;60.21081614494324;17.82582245554243;60.36308881214687
C1_4_2;60.261345284325735;60.27256539889744;60.15442058018276;16.813880579812185;60.38448592594692
C1_4_5;60.063625471932546;60.18921954291208;60.572871582848684;21.32442443711417;60.79769451277597
C1_6_4;60.653150836626686;60.04526690642039;60.01754184563955;52.02006538709005;60.00997201601664
C1_6_5;61.69262929757436;60.53870463371277;60.051506678263344;51.90415898958842;60.03112864494324
C1_4_7;60.4616634051005;60.560074965159096;60.001758456230164;17.323689301808674;60.89159035682678
C1_4_3;60.16370554765066;60.16988714536031;60.290536880493164;18.194856365521748;60.57624121507009
C1_2_3;60.000972867012024;60.084497014681496;60.20093170801798;4.642629822095235;60.05564991633097
C1_4_6;60.10834403832754;60.097746888796486;60.29547115166982;19.283848881721497;60.67957921822866
C1_4_8;60.22805900573731;60.00208382606506;60.14758167266846;17.433344554901122;61.02803339958191
C1_2_10;60.10022803147634;60.10669366518656;60.063406586647034;4.760417699813843;60.015225410461426
C1_2_9;60.097400546073914;60.005650917689;60.0986080567042;3.916214028994242;60.09504775206248
C1_2_2;60.06208884716034;60.00092772642771;60.103003899256386;3.836424986521403;60.00926168759664
