Instance;PATH_MOST_CONSTRAINED_ARC_and_GREEDY_DESCENT;SAVINGS_and_GREEDY_DESCENT;PATH_CHEAPEST_ARC_and_GREEDY_DESCENT;ALL_UNPERFORMED_and_GREEDY_DESCENT;GLOBAL_CHEAPEST_ARC_and_GREEDY_DESCENT;PARALLEL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;LOCAL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;CHRISTOFIDES_and_GREEDY_DESCENT;LOCAL_CHEAPEST_COST_INSERTION_and_GREEDY_DESCENT;LOCAL_CHEAPEST_ARC_and_GREEDY_DESCENT;FIRST_UNBOUND_MIN_VALUE_and_GREEDY_DESCENT;SEQUENTIAL_CHEAPEST_INSERTION_and_GREEDY_DESCENT
HFVRP_4;1.0198418200016022;1.6242824792861938;1.9179034531116486;600.3153920173645;0.8285049498081207;1.020854264497757;1.1460224092006683;1.4734278917312622;1.4690285623073578;0.848971962928772;600.3153920173645;1.433559775352478
HFVRP_p14;23.825589954853058;22.101742774248123;28.590456306934357;602.0190668106079;37.50168827176094;27.445163547992706;19.562368482351303;23.271674633026123;26.06852027773857;28.315236151218414;602.0190668106079;29.029762387275696
C1_2_6;4.412277317047119;5.089898681640625;7.5103072166442875;609.6142578125;4.626061606407165;4.540537285804748;10.208756589889527;6.365278053283691;12.642439579963684;6.468523859977722;13.88096468448639;5.044613718986511
CVRP_p5;1.7154770493507385;1.7431314289569855;2.031428426504135;13080.056962966919;2.169400066137314;1.7500399947166443;0.8458645939826965;2.103101462125778;0.9259242117404938;1.5441406071186066;13080.056962966919;1.8432562053203583
CVRP_4;0.7165782153606415;0.5362038910388947;0.49790307879447937;601.0725259780884;0.7593036890029907;0.8506801724433899;0.48856571316719055;0.617566853761673;0.44445741176605225;1.574418612888881;601.0725259780884;0.9709985554218292
C1_4_1;48.13934211730957;22.503548192977906;43.9521075963974;655.5733323097229;30.983110666275024;47.311144018173216;47.97631924152374;25.681832790374756;51.012917685508725;33.019959926605225;60.286616587638854;46.18485870361328
C1_6_3;59.68197040557861;58.03157551288605;61.3521639585495;7066.490650177002;61.106672692298886;60.679734683036806;60.10435652732849;60.42683217525482;60.00934841632843;61.64596734046936;60.03057470321655;61.602706503868106
C1_2_1;4.2932045459747314;4.968207168579101;7.492483448982239;1742.5465607643127;5.5312470436096195;6.9366164922714235;12.516997814178467;6.385291194915771;11.246606135368348;5.989938569068909;13.58024959564209;6.405100893974304
CVRP_p3;0.6994082246507917;1.3334742614201136;0.5086839880262103;600.2019453048706;1.5557454654148646;0.7651035445077079;0.4416405814034598;0.8007627214704242;0.5850163527897426;1.2051761490958077;1.6646335465567452;0.7125885486602783
C1_6_2;58.06985819339752;55.39607694149017;61.08081793785095;708.9134860038757;61.277844476699826;61.23188712596893;60.01950840950012;61.31654119491577;60.019530701637265;61.96999566555023;60.016558861732484;62.1783448934555
C1_4_4;47.57605094909668;25.112745881080627;44.89120647907257;669.7823262214661;26.736564254760744;47.05431613922119;49.175191807746884;28.6850537776947;52.0023398399353;32.50167260169983;60.364980292320254;48.766320490837096
CVRP_100;0.021247704823811848;0.01815199851989746;0.026298364003499348;0.22168207168579102;0.025457461675008137;0.02079470952351888;0.04615481694539388;0.03151565127902561;0.05014753341674805;0.020225365956624348;0.048025793499416776;0.02284701665242513
C1_2_5;4.823101592063904;4.970198559761047;9.090247869491577;6929.869899749756;5.617586374282837;5.220016598701477;12.63154604434967;5.902042055130005;12.61066529750824;7.606038045883179;13.663270306587219;5.601116442680359
HFVRP_1;0.5287565886974335;0.4466438889503479;0.6084880232810974;600.1503252983093;0.5594335496425629;0.42392975091934204;0.42212554812431335;0.42701825499534607;0.5249801576137543;0.6634998321533203;600.1503252983093;0.47112560272216797
C1_2_4;5.984614396095276;5.182555031776428;10.308037090301514;13520.462818145752;4.903111672401428;6.12721095085144;10.68005084991455;6.162062168121338;14.111844635009765;6.077078723907471;14.093506097793579;6.0093467235565186
C1_6_1;60.0885852098465;57.64386377334595;60.799675059318545;716.2153267860413;61.30238537788391;61.54222640991211;60.02380266189575;60.93680903911591;60.030692887306216;61.45045535564422;60.01436727046966;61.97139685153961
CVRP_p14;31.08149164915085;24.783266752958298;19.564208954572678;22137.081971168518;30.681462556123734;26.94962576031685;26.458588629961014;25.056688517332077;28.477878212928772;44.66544568538666;37.26178619265556;22.335461258888245
C1_2_8;4.915037727355957;5.121453809738159;10.040084028244019;117159.53994512558;5.560063982009888;5.492967200279236;10.525210547447205;6.069489598274231;12.691601490974426;7.801291418075562;15.061023688316345;5.494810962677002
CVRP_1;0.32115633147103445;0.30929841314043316;0.4048104967389788;600.308678150177;0.456176825932094;0.28233136449541363;0.2258446557181222;0.3725201742989676;0.25467004094805035;0.4744603633880615;1.00004666192191;0.23554086685180664
HFVRP_p3;0.8833449184894562;0.810418426990509;1.1064447164535522;7696.0488176345825;0.8746465146541595;1.1994534134864807;0.4770888388156891;0.9096160233020782;0.5082333087921143;1.850976675748825;7696.0488176345825;1.2051551640033722
HFVRP_p5;1.4769249856472015;1.4865006804466248;1.3882456123828888;600.2647972106934;1.2986720204353333;2.2291468381881714;1.8513239026069641;4.089665502309799;1.64983069896698;1.2969617247581482;600.2647972106934;2.0045101940631866
C1_4_9;43.495707511901855;22.088857548577444;38.19459809575762;13606.897406578064;27.874823093414307;43.64446197237287;44.81672726358686;24.920459372656687;49.382019315447124;29.92818774495806;60.51435899734497;43.87933363233294
C1_2_7;3.882738862718855;3.5613259928567067;6.8972545351300925;605.4838681221008;4.357373510088239;3.4896198340824673;7.738799708230155;4.632067169461932;9.137039933885847;5.302562373025077;11.101725203650338;4.164150817053659
C1_4_10;45.585356678281514;17.82582245554243;42.55604273932321;620.8578848838806;24.690205812454224;42.931410040174214;43.71407202311924;22.010224955422537;48.945867368153166;26.010113886424474;60.88307564599173;42.09653394562857
C1_4_2;40.10011608260019;16.813880579812185;36.4139803818294;5588.793940544128;23.095216172082083;40.702978815351216;42.40841862133571;20.379394224711827;47.36614319256374;25.824843951633998;60.56031915119716;40.26092393057687
C1_4_5;43.57875003133501;21.32442443711417;45.661246810640606;1747.5410866737366;24.08093844141279;44.86948783057077;46.05044320651463;25.204294885907853;51.11474847793579;30.870215892791748;61.020766735076904;45.2146805695125
C1_6_4;56.68675152460734;52.02006538709005;60.372310956319176;8480.524604320526;61.26181403795878;61.53564043839773;60.006915171941124;61.734801491101585;60.008815924326576;62.19550736745199;60.022064526875816;62.76412161191305
C1_6_5;58.46097115675608;51.90415898958842;61.26416754722595;31201.240391731262;61.39962609608968;62.22477797667185;60.021648486455284;61.86833508809408;60.01647667090098;62.4750759601593;350.65652612845105;63.33880499998728
C1_4_7;44.37017285823822;17.323689301808674;37.917004466056824;637.90114402771;24.251508911450703;42.14625187714895;47.47316483656565;22.37104634443919;49.45409528414408;25.664841850598652;60.4482053120931;44.542605559031166
C1_4_3;41.02328666051229;18.194856365521748;38.1539032459259;638.8061690330505;23.00231397151947;42.94969769318899;44.74249140421549;20.480472763379414;48.051645159721375;25.24473198254903;60.58256367842356;41.85934674739838
C1_2_3;5.559471448262532;4.642629822095235;8.714993755022684;608.2284188270569;6.018445412317912;4.663642168045044;11.622884829839071;6.128654678662618;13.302278558413187;6.031375765800476;13.140177170435587;6.727438489596049
C1_4_6;44.01149801413218;19.283848881721497;42.05395988623301;640.2798438072205;24.76294430096944;43.976757526397705;45.54080172379812;22.87865646680196;49.54544472694397;27.366359154383343;60.535660902659096;43.57191514968872
C1_4_8;41.538866472244266;17.433344554901122;42.35815413792928;619.9507546424866;22.747980785369872;40.67581958770752;43.713694953918456;20.139666080474854;49.228176069259646;25.908686876296997;60.37477502822876;42.504838418960574
C1_2_10;4.667006929715474;4.760417699813843;8.54317049185435;607.0052337646484;5.501821200052897;4.737676064173381;10.155922412872314;6.176661213239034;11.095324953397116;5.666996558507283;10.548852364222208;4.377728819847107
C1_2_9;3.363599340120951;3.916214028994242;6.448791742324829;604.1903328895569;3.7152560551961265;3.9643319845199585;7.253984967867534;4.794892470041911;9.09005836645762;5.077727913856506;9.498381813367208;4.43384583791097
C1_2_2;3.794646461804708;3.836424986521403;6.983597199122111;8256.695437431335;4.362495342890422;3.978848179181417;143.87311474482217;4.523869315783183;9.463376998901367;5.294427752494812;12.311681866645813;4.3620039621988935
