Instance;LOCAL_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;ALL_UNPERFORMED_and_GENERIC_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_GENERIC_TABU_SEARCH;CHRISTOFIDES_and_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_GENERIC_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;SAVINGS_and_GENERIC_TABU_SEARCH;SWEEP_and_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;BEST_INSERTION_and_GENERIC_TABU_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_GENERIC_TABU_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;PATH_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;GLOBAL_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;EVALUATOR_STRATEGY_and_GENERIC_TABU_SEARCH
p3;3.535341715812683;3.5598767757415772;3.545414185523987;3.5515739917755127;3.5318339347839354;3.549042081832886;3.532579493522644;3.5586445569992065;3.5370111227035523;3.543125867843628;3.5649746894836425;3.5371134281158447;3.865503263473511;3.5401517868041994;3.549230670928955
p6;10.008217382431031;9.919182348251343;9.922077894210815;10.03900740146637;9.945690035820007;9.899586915969849;9.890769934654235;9.916023898124696;9.884476709365845;9.893275022506714;9.88710675239563;9.87006413936615;9.892447471618652;9.871435141563415;9.886759805679322
p19;13.11402268409729;14.258773565292358;13.604275822639465;14.1718674659729;12.667170906066895;13.268778586387635;16.041809368133546;14.721986651420593;12.287825393676759;13.245076751708984;12.868294596672058;14.632725882530213;11.548683214187623;14.75752396583557;15.263528823852539
p5;11.583281445503236;11.581150388717651;11.579548215866089;11.581812238693237;11.5692809343338;11.67403597831726;11.60762665271759;11.613871312141418;11.638782143592834;11.682739233970642;11.58342628479004;11.588834667205811;11.55750138759613;11.543206357955933;11.583209681510926
p1;3.1939508438110353;3.192707633972168;3.203937864303589;3.207121992111206;3.1896500825881957;3.191084933280945;3.2004390954971313;3.2015538930892946;3.190240001678467;3.1915787935256956;3.1972320556640623;3.1922533988952635;3.173184895515442;3.197543001174927;3.123422694206238
p31;0.014028501510620118;0.012115907669067384;0.013128423690795898;0.013216400146484375;0.013094735145568848;0.014406490325927734;0.014082908630371094;0.011712217330932617;0.011922955513000488;0.013811516761779784;0.01125490665435791;0.011257505416870118;0.011149358749389649;0.012218022346496582;0.011075091361999512
p15;1.3000453233718872;1.0473837852478027;1.2955109834671021;1.2988840341567993;0.8332159519195557;1.290133571624756;0.8268911361694335;1.7394933462142945;1.0492339611053467;0.8374208211898804;1.0442245483398438;1.7425283193588257;1.7422945976257325;1.7494136095046997;1.0456183433532715
p20;20.001317715644838;20.00152337551117;19.789199662208556;20.00139856338501;20.001313996315;20.00132796764374;20.00069715976715;19.53708119392395;19.430623722076415;19.596906232833863;20.00228316783905;19.431792759895323;19.127864003181458;19.660839772224428;19.931075549125673
p4;12.301404237747192;12.31203989982605;12.30427610874176;12.291684198379517;12.248056054115295;12.273124527931213;12.32016100883484;12.275287318229676;12.265535521507264;12.277341771125794;12.271797227859498;12.264600014686584;12.331318688392638;12.347228312492371;12.299884510040282
p2;3.196475458145142;3.186308813095093;3.192789888381958;3.2045262098312377;3.2048142194747924;3.209972596168518;3.1825329542160032;3.1920955181121826;3.1360564470291137;3.1897820711135862;3.1904815435409546;3.2082041263580323;3.18749737739563;3.2069968461990355;3.1894042015075685
