Instance;PATH_CHEAPEST_ARC_and_TABU_SEARCH;PATH_CHEAPEST_ARC_and_SIMULATED_ANNEALING;EVALUATOR_STRATEGY_and_GUIDED_LOCAL_SEARCH;SAVINGS_and_GREEDY_DESCENT;LOCAL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH
p3;3.6852330207824706;3.679866147041321;3.502886438369751;3.4989203929901125;3.5370111227035523
p6;9.902352333068848;9.852367734909057;9.880696058273315;9.852939653396607;9.884476709365845
p19;12.43970558643341;11.392969179153443;12.75288920402527;13.16470365524292;12.287825393676759
p5;11.573497557640076;11.553942847251893;11.567755317687988;11.533684611320496;11.638782143592834
p1;0.8604963541030883;0.8309422731399536;1.255589485168457;1.4726664304733277;3.190240001678467
p31;0.013163375854492187;0.011259031295776368;0.0130295991897583;0.013159489631652832;0.011922955513000488
p15;0.8275926351547241;1.0492928981781007;0.8329536437988281;0.8319459199905396;1.0492339611053467
p20;20.00078570842743;20.001141715049744;19.825825023651124;20.000923919677735;19.430623722076415
p4;12.298477363586425;12.288932013511658;12.282977676391601;12.275198054313659;12.265535521507264
p2;0.8602339029312134;0.8305070638656616;1.2643712759017944;1.4605660915374756;3.1360564470291137
