Instance;PATH_MOST_CONSTRAINED_ARC_and_TABU_SEARCH;EVALUATOR_STRATEGY_and_SIMULATED_ANNEALING;EVALUATOR_STRATEGY_and_GUIDED_LOCAL_SEARCH;PATH_CHEAPEST_ARC_and_GREEDY_DESCENT;SWEEP_and_GENERIC_TABU_SEARCH
att48;0.07100837230682373;0.07122802734375;0.04164588451385498;0.04780967235565185;0.07111935615539551
pr76;0.10236353874206543;0.10158576965332031;0.2325498104095459;0.11211526393890381;0.10225794315338135
pr107;0.2460735559463501;0.2504944086074829;0.39245498180389404;0.22637269496917725;0.24932985305786132
st70;0.18861289024353028;0.18275690078735352;0.18795647621154785;0.1340343713760376;0.19626801013946532
ulysses22;0.005780506134033203;0.005750036239624024;0.00577235221862793;0.0077522039413452145;0.005701231956481934
rd100;0.6024609804153442;0.5485177993774414;0.5380976438522339;0.38960192203521726;0.5885027885437012
pr124;0.2598378658294678;0.6907310485839844;0.2635227680206299;0.36102235317230225;0.7152783632278442
d493;13.462529015541076;27.711921644210815;21.050839233398438;11.280271625518798;15.128857207298278
ulysses16;0.003949308395385742;0.0038361549377441406;0.0038524866104125977;0.004426193237304687;0.003847169876098633
dsj1000;60.001455307006836;60.0018848657608;60.00161211490631;60.001135897636416;60.001970744133
u724;59.54612169265747;48.75503544807434;47.31385359764099;52.91923387050629;49.270275068283084
ch150;0.9772892475128174;0.8498458862304688;0.8550827741622925;0.5709200143814087;0.8583608150482178
d657;53.20561957359314;38.06493632793426;38.08476676940918;38.20691695213318;40.651092886924744
