Instance;CHRISTOFIDES_and_GREEDY_DESCENT;EVALUATOR_STRATEGY_and_GREEDY_DESCENT;PATH_MOST_CONSTRAINED_ARC_and_GREEDY_DESCENT;ALL_UNPERFORMED_and_GREEDY_DESCENT;BEST_INSERTION_and_GREEDY_DESCENT;PATH_CHEAPEST_ARC_and_GREEDY_DESCENT;LOCAL_CHEAPEST_ARC_and_GREEDY_DESCENT;LOCAL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;SWEEP_and_GREEDY_DESCENT;SAVINGS_and_GREEDY_DESCENT;SEQUENTIAL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;FIRST_UNBOUND_MIN_VALUE_and_GREEDY_DESCENT;GLOBAL_CHEAPEST_ARC_and_GREEDY_DESCENT;PARALLEL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;LOCAL_CHEAPEST_COST_INSERTION_and_GREEDY_DESCENT
att48;0.04670569896697998;0.07618722915649415;0.043594193458557126;0.07508032321929932;0.041870498657226564;0.04780967235565185;0.04516212940216065;0.07509222030639648;0.07098822593688965;0.041460490226745604;0.04497947692871094;0.07612149715423584;0.07159371376037597;0.071655535697937;0.041575503349304196
pr76;0.2379070043563843;0.13569924831390381;0.23704640865325927;0.1358358383178711;0.23878111839294433;0.11211526393890381;0.23822686672210694;0.1356865406036377;0.10253560543060303;0.23283028602600098;0.2359415054321289;0.13727250099182128;0.10263950824737549;0.10203428268432617;0.23424038887023926
pr107;0.3731257677078247;0.2907151699066162;0.34801397323608396;0.27258780002593996;0.3700096130371094;0.22637269496917725;0.37663395404815675;0.2744460105895996;0.274779224395752;0.37018814086914065;0.3717705965042114;0.27544150352478025;0.30598225593566897;0.24722733497619628;0.413797402381897
st70;0.19145336151123046;0.18442373275756835;0.18920135498046875;0.20028095245361327;0.1921598196029663;0.1340343713760376;0.21300909519195557;0.18069260120391845;0.21213867664337158;0.20684773921966554;0.1983640193939209;0.18623266220092774;0.1870964765548706;0.20434532165527344;0.1904526472091675
ulysses22;0.0057026386260986325;0.005719661712646484;0.005730843544006348;0.005910825729370117;0.006154251098632812;0.0077522039413452145;0.006168794631958008;0.005808615684509277;0.005713057518005371;0.005806684494018555;0.006144332885742188;0.0062827587127685545;0.005843687057495117;0.008610391616821289;0.005759096145629883
rd100;0.5386994361877442;0.5029938220977783;0.7066064596176147;0.5166585445404053;0.5338365077972412;0.38960192203521726;0.5397218227386474;0.6069588184356689;0.5861089944839477;0.7382332563400269;0.6314839124679565;0.5396616458892822;0.6182226657867431;0.5509712934494019;0.7117760181427002
pr124;0.625028657913208;0.5743189811706543;0.32126479148864745;0.6975038528442383;0.2609632253646851;0.36102235317230225;0.26662311553955076;0.2637752056121826;0.2590506553649902;0.695147180557251;0.694134783744812;0.6031144857406616;0.6934727191925049;0.5720116853713989;0.5911094427108765
d493;10.801069259643555;10.753514766693115;10.758451128005982;10.776220417022705;11.08699722290039;11.280271625518798;11.05591640472412;10.876448464393615;10.824247789382934;10.854921627044678;10.837146377563476;10.781543111801147;10.810362482070923;10.75906217098236;10.798398303985596
ulysses16;0.003833436965942383;0.0039071798324584964;0.003989505767822266;0.004399490356445312;0.0038904666900634764;0.004426193237304687;0.00470576286315918;0.004785370826721191;0.0038394927978515625;0.003822064399719238;0.0044100284576416016;0.004202651977539063;0.004732823371887207;0.004359745979309082;0.004680514335632324
dsj1000;60.001675152778624;60.001735877990725;60.001295280456546;60.00142769813537;60.00182616710663;60.001135897636416;60.0028881072998;60.00156528949738;60.00163681507111;60.00149302482605;60.00142228603363;60.00185110569;60.00152485370636;60.00171248912811;60.001568508148196
u724;52.72379205226898;51.67345626354218;39.03645582199097;50.96697907447815;56.29198157787323;52.91923387050629;51.25956304073334;58.33661208152771;49.24469707012177;53.28332996368408;53.793823552131656;51.74922235012055;51.50021533966064;57.61837136745453;54.96894142627716
ch150;0.8568102836608886;0.8679064989089966;0.9480489015579223;0.8479827404022217;0.8511214971542358;0.5709200143814087;0.8626175642013549;0.8661063432693481;0.8510169506072998;0.8615291833877563;0.8712152957916259;0.8580919981002808;0.867077374458313;0.8527883768081665;0.8776922702789307
d657;45.710851073265076;47.985296034812926;33.77877821922302;36.760541224479674;38.44737079143524;38.20691695213318;36.221608304977416;52.34923009872436;50.17237529754639;46.82971224784851;48.11254427433014;50.72073829174042;37.65648250579834;50.38253617286682;43.9258936882019
