Instance;PATH_MOST_CONSTRAINED_ARC_and_TABU_SEARCH;PATH_CHEAPEST_ARC_and_SIMULATED_ANNEALING;EVALUATOR_STRATEGY_and_GUIDED_LOCAL_SEARCH;EVALUATOR_STRATEGY_and_GREEDY_DESCENT;EVALUATOR_STRATEGY_and_GENERIC_TABU_SEARCH
CVRP_3;19.03857707977295;19.03467357158661;19.99783923625946;19.03571162223816;19.03506021499634
p3;20.000143194198607;20.000456619262696;20.000388932228088;20.001227807998657;20.00007293224335
p6;20.00041346549988;20.000351595878602;20.00136284828186;20.000457644462585;20.00040557384491
p19;20.000498509407045;20.000375270843506;20.000437259674072;20.00020296573639;20.00053253173828
p5;20.000310611724853;20.000394463539124;20.00054359436035;20.00024163722992;20.000565004348754
p1;20.000193691253664;20.00050096511841;20.000226163864134;20.000558257102966;20.000299406051635
CVRP_5;20.000340080261232;20.00022156238556;20.00016930103302;20.000140261650085;20.000335907936098
p31;0.037544965744018555;0.034981155395507814;0.04204380512237549;0.03601846694946289;0.036111092567443846
p15;20.00004909038544;20.00044252872467;20.000853729248046;20.000532603263856;20.000501942634582
p20;20.000805497169495;20.00060317516327;20.000733399391173;20.000725388526917;20.000419044494627
CVRP_2;18.574306869506835;18.574003744125367;18.31970887184143;18.57356479167938;18.570502591133117
p4;20.000622606277467;20.000382447242735;20.000316381454468;20.000307607650758;20.000478267669678
p16;20.000423097610472;20.000574278831483;20.000570797920226;20.000446128845216;20.00069329738617
CVRP_100;0.09573614597320557;0.09583845138549804;0.11145994663238526;0.0947735071182251;0.09564616680145263
p18;20.001304984092712;20.000975370407104;20.000393176078795;20.00083906650543;20.00064046382904
p2;20.000270509719847;20.000137591361998;20.00041344165802;20.00021438598633;20.000683498382568
p17;20.000308442115784;20.000596928596497;20.00042083263397;20.000501227378845;20.000671124458314
p12;20.00165274143219;20.000495171546937;20.000715827941896;20.00053083896637;20.00047175884247
p11;20.00019738674164;20.000591135025026;20.000273537635803;20.00063102245331;20.00036931037903
CVRP_4;20.000218009948732;20.00022964477539;20.00025713443756;20.000336742401124;20.000142049789428
CVRP_1;19.50552017688751;19.51012830734253;19.013131141662598;19.5111421585083;19.51180672645569
p13;19.999772548675537;20.000637769699097;20.000779628753662;20.000662326812744;20.000701189041138
