Instance;PATH_CHEAPEST_ARC_and_GREEDY_DESCENT;SAVINGS_and_GREEDY_DESCENT;ALL_UNPERFORMED_and_GREEDY_DESCENT;PARALLEL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;SWEEP_and_SIMULATED_ANNEALING
CVRP_3;23.099677020853218;22.556212815371428;24.36204104423523;24.441990613937378;24.408574438095094
p3;35.613704073429105;34.57876204252243;34.712188196182254;34.704596078395845;34.79246957302094
p1;12.41068080663681;12.153397965431214;12.30107536315918;10.847277748584748;11.189535200595856
CVRP_5;60.00066957473755;60.000463938713075;60.00116918087006;60.00090656280518;60.00019197463989
p31;0.03269470930099487;0.035082125663757326;0.03685445785522461;0.03584147691726684;0.03516030311584473
CVRP_2;17.10910909175873;19.611539697647096;16.514136600494385;16.622314834594725;17.49232907295227
CVRP_100;0.06010980606079101;0.06831316947937012;0.5456628561019897;30.054735255241393;0.10678415298461914
p2;12.597339904308319;10.446399974822999;13.265972769260406;12.110570013523102;12.374078488349914
CVRP_4;30.701153683662415;30.385807240009306;60.00175263881683;60.00130681991577;59.9997015953064
CVRP_1;9.582351231575013;11.283546912670136;16.820349669456483;39.16636449098587;16.893215942382813
C1_4_1;53.17467002868652;45.16545081138611;60.00838787555695;60.526684975624086;1280.0221824645996
C1_2_7;10.068939781188964;8.549344623088837;5.8539525985717775;38.89157289266586;6.18047030766805
C1_4_10;52.91139979362488;35.744190502166745;35.00394098758697;52.057740890979765;39.943404542075264
C1_4_2;48.513469910621644;36.13915932178497;40.67090833187103;54.54249119758606;32.12666336695353
C1_4_9;47.31439181566238;39.82958338260651;35.21156768798828;54.800065994262695;36.77469150225321
C1_2_5;11.8592493891716;8.268858897686005;0.04911096096038818;60.038647854328154;611.4728260040283
C1_2_4;25.243075215816496;15.59625438451767;0.05037178993225098;60.027121758461;21800.092132091522
C1_2_8;17.782417559623717;10.025616574287415;0.04946315288543701;60.013963317871095;28545.153350830078
C1_4_5;49.6117500782013;37.53750277757645;33.5033821105957;48.76522285938263;41.15408907996284
C1_6_1;60.24312125444412;61.65748668909073;0.26575336456298826;61.36292418241501;1049.8165845870972
C1_2_3;9.682400965690613;8.330747175216676;7.708616137504578;37.20555466413498;9.172449429829916
C1_6_3;61.49834827184677;61.09633741378784;0.25117266178131104;60.666704046726224;17300.07817029953
C1_2_10;8.879796731472016;6.489390408992767;7.669344687461853;36.88185792220266;11.262252569198608
C1_2_9;10.844891987348857;6.936097308209068;6.557497239112854;35.211266128640425;7.304418643315633
C1_2_6;16.512781720412406;13.985429098731593;0.046297883987426756;60.00879622760572;608.8187885284424
C1_4_6;45.80176288551755;37.117632468541466;35.886817717552184;47.159328328238594;32.81331049071418
C1_4_4;51.8612818453047;48.117073350482514;60.02039737701416;60.70236039161682;676.1796927452087
C1_2_2;8.019949462678698;8.021580735842386;6.46538279056549;33.91993906762865;8.489689085218641
C1_2_1;16.436186803711784;10.274582902590433;0.04828181266784668;60.05885802374946;611.8837904930115
C1_4_3;53.309367563989426;41.73864344755808;48.56564552783966;56.398417446348404;54.9468506442176
