Instance;PATH_MOST_CONSTRAINED_ARC_and_TABU_SEARCH;ALL_UNPERFORMED_and_SIMULATED_ANNEALING;BEST_INSERTION_and_GUIDED_LOCAL_SEARCH;GLOBAL_CHEAPEST_ARC_and_GREEDY_DESCENT;GLOBAL_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH
HFVRP_4;0.28270161151885986;0.2918585777282715;0.277211594581604;0.2853600740432739;0.2860412120819092
C1_4_9;9.319901633262635;9.325123262405395;9.325359225273132;9.402810621261597;9.397470355033875
C1_6_4;14.275551509857177;16.241978907585143;14.12438006401062;15.669529914855957;14.180036091804505
C1_6_5;13.966994571685792;16.20452926158905;14.089715671539306;16.08287901878357;13.894924545288086
C1_2_7;1.802411103248596;1.7513397693634034;1.7894758701324462;1.7509984493255615;1.8156546115875245
C1_4_10;9.845203375816345;9.313725256919861;9.824712944030761;9.539381623268127;9.296042251586915
HFVRP_p14;10.255831408500672;8.971395087242126;10.56395628452301;13.179318642616272;9.2389630317688
C1_2_6;1.6862004756927491;1.6911736965179442;1.6897769927978517;1.701062297821045;1.6896863222122191
CVRP_p5;0.4197565793991089;0.4274407625198364;0.4594223976135254;0.41809608936309817;0.4109979152679443
CVRP_4;0.2990778207778931;0.3179534196853638;0.3147362947463989;0.33973257541656493;0.3248820066452026
C1_4_7;9.456049823760987;9.634427809715271;9.457031178474427;9.934309339523315;9.346038651466369
C1_4_1;9.929044890403748;9.351921963691712;9.346007037162781;9.451879215240478;9.332966446876526
C1_6_3;13.675761151313782;15.873071694374085;14.229704451560973;16.09727442264557;13.657131767272949
C1_2_1;1.7685497522354126;1.7377018690109254;1.747936487197876;1.7720983028411865;1.6982898235321044
CVRP_p3;0.2210857391357422;0.24401535987854003;0.24812760353088378;0.23187692165374757;0.25680971145629883
C1_6_2;13.515264081954957;16.166575074195862;14.639982986450196;15.38188557624817;14.740647077560425
C1_4_4;10.578776645660401;9.817506647109985;9.28584327697754;9.25469708442688;9.128928804397583
C1_2_5;1.6945354223251343;1.7113874673843383;1.7069811820983887;1.703029179573059;1.697810745239258
C1_4_3;9.53716230392456;9.303505992889404;9.351492071151734;9.813916802406311;9.538514041900635
HFVRP_1;0.12623331546783448;0.12774896621704102;0.14411211013793945;0.13239507675170897;0.13190808296203613
C1_4_2;9.36176507472992;9.493877792358399;9.367416095733642;9.664729762077332;9.430338549613953
C1_2_3;1.7064090251922608;1.7310596227645874;1.7094213724136353;1.6900723218917846;1.6964247941970825
C1_4_6;9.388762879371644;9.28814992904663;9.354890751838685;9.408648872375489;9.49703061580658
C1_4_8;9.530766201019286;9.544250535964967;9.55057647228241;9.561881828308106;9.558309149742126
C1_2_10;1.6817485332489013;1.6824337005615235;1.6876138210296632;1.6934744358062743;1.7002350568771363
C1_2_4;1.7275473117828368;1.7495723247528077;1.7423083782196045;1.6937856197357177;1.6940337657928466
C1_6_1;14.537502360343932;15.985532355308532;14.202890467643737;15.439131879806519;14.730627727508544
CVRP_p14;12.801018261909485;12.450832176208497;11.490072917938232;12.159872555732727;11.532159328460693
C1_2_8;1.702450442314148;1.7003731727600098;1.7130977392196656;1.698953914642334;1.6978749752044677
C1_2_9;1.6839380741119385;1.6916033744812011;1.6846895456314086;1.690989899635315;1.6892446517944335
C1_2_2;1.7431503295898438;1.6951776504516602;1.6927987575531005;1.6989946365356445;1.6994609594345094
CVRP_1;0.16079273223876953;0.1424464464187622;0.14007623195648194;0.18076620101928711;0.15919408798217774
HFVRP_p3;0.30212700366973877;0.2937784194946289;0.31737074851989744;0.3261309385299683;0.31709177494049073
C1_4_5;9.31916012763977;9.312708473205566;9.387932348251343;9.302135229110718;9.30564775466919
HFVRP_p5;0.4253657579421997;0.4363581418991089;0.4488128662109375;0.4423583984375;0.4313117742538452
