Instance;SWEEP_and_TABU_SEARCH;CHRISTOFIDES_and_SIMULATED_ANNEALING;EVALUATOR_STRATEGY_and_GUIDED_LOCAL_SEARCH;PATH_CHEAPEST_ARC_and_GREEDY_DESCENT;SWEEP_and_GENERIC_TABU_SEARCH
att48;0.12530746459960937;0.11849982738494873;0.13155457973480225;0.1390425443649292;0.11809203624725342
pr76;1.0290043354034424;1.2104176044464112;1.322552990913391;0.7824660778045655;1.0750840663909913
pr107;1.0458959341049194;1.2289074182510376;1.358559513092041;0.8697283029556274;1.0007774591445924
st70;0.39106838703155516;0.31530513763427737;0.3273614406585693;0.34074082374572756;0.7541846513748169
ulysses22;0.03217029571533203;0.03161060810089111;0.03998939990997315;0.03119964599609375;0.03412108421325684
rd100;1.2339040756225585;1.4925586223602294;1.6064764976501464;1.78337562084198;1.3645010948181153
pr124;2.760354781150818;2.439837169647217;2.5889221906661986;1.0402289867401122;2.7958311080932616
d493;37.91005847454071;41.04364666938782;42.94171676635742;37.79861261844635;44.15784380435944
ulysses16;0.02496936321258545;0.029606318473815917;0.028321456909179688;0.02714664936065674;0.0250446081161499
dsj1000;60.005835556983946;60.005488228797915;60.00450148582458;60.00413842201233;60.006019592285156
u724;60.00484869480133;60.0035619020462;59.79521768093109;58.464360451698305;60.00312550067902
ch150;5.023949360847473;4.183272004127502;4.115433645248413;2.1690256595611572;4.113910794258118
d657;57.42533288002014;56.919492387771605;55.81789972782135;52.54645607471466;57.63022186756134
