Instance;PARALLEL_CHEAPEST_INSERTION_and_TABU_SEARCH;GLOBAL_CHEAPEST_ARC_and_TABU_SEARCH;PATH_CHEAPEST_ARC_and_TABU_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_and_TABU_SEARCH;BEST_INSERTION_and_TABU_SEARCH;LOCAL_CHEAPEST_ARC_and_TABU_SEARCH;SAVINGS_and_TABU_SEARCH;EVALUATOR_STRATEGY_and_TABU_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_TABU_SEARCH;CHRISTOFIDES_and_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_TABU_SEARCH;SWEEP_and_TABU_SEARCH;ALL_UNPERFORMED_and_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_TABU_SEARCH
CVRP_3;9.045655298233033;8.911348438262939;8.844698858261108;8.341751337051392;7.549858474731446;7.213623666763306;7.765863656997681;8.168951320648194;8.654457712173462;8.678135299682618;8.87151391506195;7.721337389945984;7.9033218145370485;8.482824158668517;8.72574074268341
p3;32.09232706493802;32.06967306137085;35.65761719809638;30.378515852822197;31.370171043607925;30.39653624428643;29.961344003677368;34.074231465657554;30.558489190207588;31.385613653394913;29.96384268336826;30.680701971054077;32.210085259543526;31.425584713617962;29.98424137963189
p1;9.445064120822483;9.433902793460422;9.482591178682116;10.299048953586155;8.845090998543633;9.595690170923868;9.563962803946602;10.245622740851509;9.578632752100626;9.556168582704332;10.32426142692566;9.582294146219889;8.708839707904392;9.626420656840006;10.266035106447008
CVRP_5;40.339919447898865;40.269185066223145;40.32008428573609;37.969022846221925;40.17163200378418;38.00290048122406;37.941295289993285;38.372607588768005;40.439652633666995;40.20461940765381;38.07178812026977;38.087929773330686;40.36890232563019;40.32084317207337;37.93666830062866
p31;0.025163756476508245;0.02474771605597602;0.02116198009914822;0.023299164242214628;0.023019207848442927;0.024472024705674913;0.023614750968085393;0.024012830522325303;0.023587491777208116;0.02456559075249566;0.023567093743218318;0.02382349967956543;0.025501012802124023;0.022623989317152236;0.02454898092481825
CVRP_2;8.402844762802124;8.019359707832336;7.984424209594726;8.38308138847351;7.740156841278076;7.7918638467788695;7.7851639747619625;8.009224534034729;8.37464244365692;8.392734932899476;8.37517182826996;7.7484071254730225;7.769859170913696;7.985778188705444;7.999166798591614
CVRP_100;0.12233695983886719;0.12331876754760743;0.12337014675140381;0.1230008602142334;0.12350740432739257;0.12360780239105225;0.12366213798522949;0.12400848865509033;0.1218247652053833;0.12225711345672607;0.12268600463867188;0.12319734096527099;0.12359335422515869;0.12387526035308838;0.12446253299713135
p2;7.964921103583442;9.983518362045288;9.87023491329617;7.684720224804348;8.720102707544962;9.081536769866943;8.989229970508152;9.550575468275282;7.56137654516432;7.531422429614597;7.771123727162679;8.572975211673313;9.27964554892646;9.447170178095499;9.309478018018934
CVRP_4;32.5450341463089;32.540591430664065;32.62082362174988;31.657274031639098;32.0797146320343;32.28224141597748;33.52683005332947;31.621890091896056;32.06838409900665;32.05805108547211;33.47041049003601;33.53042378425598;32.61881604194641;32.04671137332916;33.42909870147705
CVRP_1;7.482227420806884;7.478598189353943;7.48121497631073;7.7164226293563845;7.458275890350341;7.7392868280410765;7.7550777196884155;7.727306914329529;7.491816854476928;7.47550265789032;7.719419145584107;7.710254883766174;7.49307017326355;7.488974380493164;7.7531133651733395
