Instance;ALL_UNPERFORMED_and_GREEDY_DESCENT;CHRISTOFIDES_and_GREEDY_DESCENT;PARALLEL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;PATH_CHEAPEST_ARC_and_GREEDY_DESCENT;SEQUENTIAL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;LOCAL_CHEAPEST_COST_INSERTION_and_GREEDY_DESCENT;LOCAL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;SAVINGS_and_GREEDY_DESCENT;PATH_MOST_CONSTRAINED_ARC_and_GREEDY_DESCENT;SWEEP_and_GREEDY_DESCENT;FIRST_UNBOUND_MIN_VALUE_and_GREEDY_DESCENT;LOCAL_CHEAPEST_ARC_and_GREEDY_DESCENT;BEST_INSERTION_and_GREEDY_DESCENT;EVALUATOR_STRATEGY_and_GREEDY_DESCENT;GLOBAL_CHEAPEST_ARC_and_GREEDY_DESCENT
CVRP_3;8.18396282196045;8.662463688850403;8.85797598361969;8.772463846206666;8.48795576095581;9.041202998161316;7.250129437446594;8.868925309181213;7.5298645257949826;7.746273636817932;8.342079734802246;7.537070083618164;7.926289701461792;8.342249584197997;8.697004199028015
p3;29.640945302115547;30.639932447009617;29.147187683317398;32.323690838283966;30.610221995247734;31.292089144388836;29.65971803665161;32.21164480845133;31.270924144321018;32.814089404212105;29.596307463116116;30.63476512167189;31.30842357211643;29.18686278661092;29.164984517627293
p1;10.245917426215279;9.560390445921156;10.314088450537788;10.734588358137342;9.608067989349365;9.39916475613912;9.592855003145006;9.467791106965807;8.841239823235405;9.58834981918335;10.313066985872057;8.812110053168404;8.69479677412245;10.360559754901463;10.241093317667643
CVRP_5;38.039481449127194;40.32326688766479;38.03117437362671;39.45605833530426;40.310443258285524;40.28063335418701;37.92910716533661;40.30526287555695;40.34846179485321;38.03752565383911;37.99156949520111;40.22429027557373;40.318010330200195;38.07061858177185;37.94391715526581
p31;0.024147854910956487;0.024571365780300565;0.02354452345106337;0.02987556987338596;0.022170543670654297;0.024667104085286457;0.024912118911743164;0.024092833201090496;0.02372468842400445;0.02396559715270996;0.02363353305392795;0.024797704484727647;0.02362545331319173;0.023660288916693792;0.024575074513753254
CVRP_2;7.991057896614075;8.409877300262451;8.400216031074525;8.010640192031861;7.9877608060836796;8.358035802841187;7.730812525749206;8.001606225967407;7.759706687927246;7.773332405090332;8.388206911087035;7.752554559707642;7.752004981040955;8.347656226158142;7.990260601043701
CVRP_100;0.1239473581314087;0.1238215446472168;0.12288391590118408;0.11804261207580566;0.12360446453094483;0.12299978733062744;0.12338755130767823;0.12318191528320313;0.12270209789276124;0.12303504943847657;0.1226728916168213;0.12294378280639648;0.12262041568756103;0.12249503135681153;0.12407553195953369
p2;9.820152097278172;7.542491224077013;7.418851190143162;10.286799960666233;9.4332471953498;8.100465324189928;8.851952049467299;9.977452357610067;8.75254456202189;8.958573897679647;7.8898791737026635;8.747074021233452;9.14933541085985;7.653728644053142;9.660397582583958
CVRP_4;31.573722553253173;32.06888070106506;33.505983686447145;35.20539636611939;32.038984870910646;32.64590997695923;31.60793766975403;32.56829617023468;31.95859353542328;33.4367693901062;31.629625344276427;32.056435918807985;32.694949984550476;31.625086736679076;33.44773197174072
CVRP_1;7.705233359336853;7.507487511634826;7.714443469047547;7.865331625938415;7.487118816375732;7.472679257392883;7.744673109054565;7.507510161399841;7.489820551872254;7.7503680229187015;7.715103888511658;7.49013307094574;7.473214626312256;7.741783022880554;7.7088967084884645
