Instance;LOCAL_CHEAPEST_COST_INSERTION_and_SIMULATED_ANNEALING;ALL_UNPERFORMED_and_SIMULATED_ANNEALING;SEQUENTIAL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;GLOBAL_CHEAPEST_ARC_and_SIMULATED_ANNEALING;SWEEP_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_ARC_and_SIMULATED_ANNEALING;PARALLEL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;PATH_MOST_CONSTRAINED_ARC_and_SIMULATED_ANNEALING;PATH_CHEAPEST_ARC_and_SIMULATED_ANNEALING;EVALUATOR_STRATEGY_and_SIMULATED_ANNEALING;BEST_INSERTION_and_SIMULATED_ANNEALING;CHRISTOFIDES_and_SIMULATED_ANNEALING;FIRST_UNBOUND_MIN_VALUE_and_SIMULATED_ANNEALING;SAVINGS_and_SIMULATED_ANNEALING
CVRP_3;8.495112586021424;7.750004315376282;7.90982403755188;7.225664639472962;8.354019165039062;8.897193789482117;9.05582127571106;8.182275652885437;9.009196972846985;7.230067944526672;8.681794452667237;8.664599537849426;8.874269819259643;8.685992980003357;7.51760766506195
p3;28.681511720021565;27.286164866553413;29.43193742964003;27.701365682813858;27.797643237643772;27.5193387137519;29.425190422270035;27.67021499739753;27.294343153635662;27.237169636620415;30.92919381459554;28.69761594136556;29.483841048346626;27.25889754295349;28.170717080434162
p1;9.586510817209879;9.601225720511543;8.672531525293985;9.597366227043999;10.318217568927341;10.285432153277927;9.383103158738878;10.226415236790976;9.429846127827963;9.62952380710178;10.236106236775717;9.531329340404934;9.470023817486233;10.228128698137072;8.853793832990858
CVRP_5;40.202025866508485;38.06984181404114;40.22983257770538;37.98079824447632;38.11609444618225;37.96280696392059;40.24157068729401;37.9867520570755;40.24923346042633;36.078482604026796;38.06903624534607;40.315855717659;40.29832758903503;37.9560653924942;40.450965189933775
p31;0.02410737673441569;0.024332655800713435;0.02333484755622016;0.02522685792711046;0.024742523829142254;0.02542437447441949;0.02310413784450955;0.024053785536024306;0.02408464749654134;0.023476600646972656;0.02488541603088379;0.023734887440999348;0.022300428814358182;0.025018956926133897;0.025322781668768987
CVRP_2;7.976721024513244;7.769594526290893;7.776654171943664;7.7399858951568605;8.389113664627075;8.34999747276306;8.391554617881775;7.997570967674255;8.380769824981689;7.775217914581299;8.00998604297638;8.360957384109497;8.023717617988586;8.01566948890686;7.752156233787536
CVRP_100;0.12400205135345459;0.12395768165588379;0.12302992343902588;0.12346749305725098;0.12249786853790283;0.12288689613342285;0.12223002910614014;0.12391564846038819;0.12229077816009522;0.12441501617431641;0.12404589653015137;0.12288494110107422;0.12476143836975098;0.12365207672119141;0.1233795166015625
p2;9.443326473236084;8.615406115849813;9.277046865887112;9.090304878022936;7.904122061199612;7.7491359445783825;7.972963094711304;9.57812081442939;8.084128459294638;8.852455218633017;9.633154365751478;7.571303685506185;9.896132654613918;9.290843831168281;8.721259302563137
CVRP_4;32.04769775867462;33.42180581092835;32.591906452178954;31.630729651451112;31.64166042804718;33.50953299999237;32.68552973270416;31.706957578659058;32.67830100059509;29.945378708839417;33.434697198867795;32.280212831497195;32.62802083492279;33.48471112251282;32.05829832553864
CVRP_1;7.473601198196411;7.73967137336731;7.462334775924683;7.743588590621949;7.741324472427368;7.771100974082946;7.502969074249267;7.711907315254211;7.484793663024902;7.721408700942993;7.731732630729676;7.4874582529068;7.460482978820801;7.745767593383789;7.476140284538269
