Instance;EVALUATOR_STRATEGY_and_GUIDED_LOCAL_SEARCH;PATH_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_GUIDED_LOCAL_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_GUIDED_LOCAL_SEARCH;GLOBAL_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;CHRISTOFIDES_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;ALL_UNPERFORMED_and_GUIDED_LOCAL_SEARCH;SWEEP_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;SAVINGS_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_GUIDED_LOCAL_SEARCH;BEST_INSERTION_and_GUIDED_LOCAL_SEARCH
CVRP_3;7.913202548027039;8.672925972938538;8.146571111679076;8.357113695144653;7.5474813222885135;7.917841792106628;8.659468507766723;7.208195352554322;8.184692859649658;9.056279015541076;8.479640698432922;8.857707500457764;8.870142936706543;7.747814607620239;8.675378561019897
p3;30.592393928103977;36.64441079563565;31.674474689695572;28.068912744522095;29.047617117563885;29.768529759513008;29.110698196623062;28.12734275394016;28.091068002912735;29.81089949607849;29.08048595322503;29.78571417596605;31.22837045457628;27.587105406655205;27.69617573420207
p1;8.66899938053555;9.592619948916965;10.274231672286987;10.321551005045572;8.826819817225138;8.682521396213108;9.568890306684706;9.598255369398329;10.255646599663628;9.405275874667698;9.622744480768839;9.450209167268541;10.351954672071669;9.57748622364468;10.243149571948582
CVRP_5;40.29807345867157;39.18418276309967;38.05138115882873;38.06955108642578;40.31483328342438;40.26376464366913;40.22040457725525;38.06852376461029;37.89419746398926;40.3716383934021;40.39589903354645;40.153790426254275;38.080904603004456;37.9542717218399;38.0395033121109
p31;0.025213135613335505;0.02635171678331163;0.02341331375969781;0.022271156311035156;0.025728861490885418;0.025320768356323242;0.025772704018486872;0.02416592174106174;0.022885375552707247;0.02437281608581543;0.024710231357150607;0.025945133633083768;0.024905946519639757;0.024694866604275174;0.025081608030531142
CVRP_2;7.7931519746780396;8.37808952331543;8.0143798828125;8.404637598991394;7.800867486000061;7.766184735298157;8.367592215538025;7.7922035455703735;7.999577689170837;8.398444223403931;7.99475736618042;8.006375384330749;8.351596903800964;7.751008319854736;8.003376388549805
CVRP_100;0.12285115718841552;0.126292085647583;0.12395009994506836;0.12269425392150879;0.12335455417633057;0.1230776071548462;0.12236354351043702;0.12471697330474854;0.12447619438171387;0.12234578132629395;0.12416009902954102;0.12313799858093262;0.12264876365661621;0.12395801544189453;0.12419652938842773
p2;9.16178994708591;7.580935743119982;9.805950694613987;7.902243746651544;8.778783957163492;9.269899527231852;7.559273507859972;8.851012892193264;9.576468388239542;8.093145608901978;9.44629242685106;9.860153939988878;7.435626745223999;8.611350059509277;9.682171185811361
CVRP_4;32.681840133666995;32.67670223712921;31.69294180870056;31.591046738624573;32.150238728523256;32.55303983688354;32.09432761669159;31.64289813041687;31.653997135162353;32.525771903991696;32.022060537338255;32.54970636367798;33.44662220478058;33.52210736274719;34.26648745536804
CVRP_1;7.493562626838684;7.778524017333984;7.733610582351685;7.722673487663269;7.481947994232177;7.473215699195862;7.492656803131103;7.724556899070739;7.7450721740722654;7.461566305160522;7.490014863014221;7.494564485549927;7.742095208168029;7.742152404785156;7.731618475914002
