Instance;LOCAL_CHEAPEST_INSERTION_and_TABU_SEARCH;PATH_CHEAPEST_ARC_and_SIMULATED_ANNEALING;CHRISTOFIDES_and_GUIDED_LOCAL_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_GREEDY_DESCENT;FIRST_UNBOUND_MIN_VALUE_and_GENERIC_TABU_SEARCH
CVRP_3;7.549858474731446;7.230067944526672;7.208195352554322;7.5298645257949826;7.226868033409119
p3;31.370171043607925;27.237169636620415;28.12734275394016;31.270924144321018;30.140527963638306
p1;8.845090998543633;9.62952380710178;9.598255369398329;8.841239823235405;9.587355772654215
CVRP_5;40.17163200378418;36.078482604026796;38.06852376461029;40.34846179485321;37.92544844150543
p31;0.023019207848442927;0.023476600646972656;0.02416592174106174;0.02372468842400445;0.02199456426832411
CVRP_2;7.740156841278076;7.775217914581299;7.7922035455703735;7.759706687927246;7.772899317741394
CVRP_100;0.12350740432739257;0.12441501617431641;0.12471697330474854;0.12270209789276124;0.12290756702423096
p2;8.720102707544962;8.852455218633017;8.851012892193264;8.75254456202189;8.84858383072747
CVRP_4;32.0797146320343;29.945378708839417;31.64289813041687;31.95859353542328;31.67943994998932
CVRP_1;7.458275890350341;7.721408700942993;7.724556899070739;7.489820551872254;7.739660906791687
