Instance;CHRISTOFIDES_and_GUIDED_LOCAL_SEARCH;EVALUATOR_STRATEGY_and_GUIDED_LOCAL_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;BEST_INSERTION_and_GUIDED_LOCAL_SEARCH;GLOBAL_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;SWEEP_and_GUIDED_LOCAL_SEARCH;PATH_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_GUIDED_LOCAL_SEARCH;ALL_UNPERFORMED_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;SAVINGS_and_GUIDED_LOCAL_SEARCH
C1_6_2;18884.0;18860.0;18884.0;18884.0;18860.0;18884.0;18860.0;18860.0;18776.0;18860.0;18860.0;18884.0;18860.0;18884.0;18884.0
C1_4_4;9112.0;9146.0;9150.0;9112.0;9146.0;9154.0;9180.0;9122.0;9140.0;9146.0;9122.0;9154.0;9180.0;9154.0;9150.0
C1_2_5;3926.0;3738.0;3926.0;3926.0;3738.0;3926.0;3738.0;3738.0;3684.0;3738.0;3738.0;3926.0;3738.0;3926.0;3926.0
C1_4_3;9112.0;9146.0;9150.0;9112.0;9146.0;9154.0;9180.0;9122.0;9140.0;9146.0;9122.0;9154.0;9180.0;9154.0;9150.0
HFVRP_1;3676.0;3698.0;3676.0;3698.0;3698.0;3698.0;3698.0;3698.0;3698.0;3698.0;3698.0;3676.0;3698.0;3676.0;3698.0
C1_4_2;9112.0;9146.0;9150.0;9112.0;9146.0;9154.0;9180.0;9122.0;9140.0;9146.0;9122.0;9154.0;9180.0;9154.0;9150.0
C1_2_3;3926.0;3738.0;3926.0;3926.0;3738.0;3926.0;3738.0;3738.0;3684.0;3738.0;3738.0;3926.0;3738.0;3926.0;3926.0
C1_4_6;9112.0;9146.0;9150.0;9112.0;9146.0;9154.0;9180.0;9122.0;9140.0;9146.0;9122.0;9154.0;9180.0;9154.0;9150.0
C1_4_8;9112.0;9146.0;9150.0;9112.0;9146.0;9154.0;9180.0;9122.0;9140.0;9146.0;9122.0;9154.0;9180.0;9154.0;9150.0
C1_2_10;3926.0;3738.0;3926.0;3926.0;3738.0;3926.0;3738.0;3738.0;3684.0;3738.0;3738.0;3926.0;3738.0;3926.0;3926.0
C1_2_4;3926.0;3738.0;3926.0;3926.0;3738.0;3926.0;3738.0;3738.0;3684.0;3738.0;3738.0;3926.0;3738.0;3926.0;3926.0
C1_6_1;18884.0;18860.0;18884.0;18884.0;18860.0;18884.0;18860.0;18860.0;18776.0;18860.0;18860.0;18884.0;18860.0;18884.0;18884.0
CVRP_p14;12680.0;12580.0;12680.0;12700.0;12580.0;12700.0;12580.0;12580.0;12960.0;12580.0;12580.0;12680.0;12580.0;12680.0;12700.0
C1_2_8;3926.0;3738.0;3926.0;3926.0;3738.0;3926.0;3738.0;3738.0;3684.0;3738.0;3738.0;3926.0;3738.0;3926.0;3926.0
C1_2_9;3926.0;3738.0;3926.0;3926.0;3738.0;3926.0;3738.0;3738.0;3684.0;3738.0;3738.0;3926.0;3738.0;3926.0;3926.0
C1_2_2;3926.0;3738.0;3926.0;3926.0;3738.0;3926.0;3738.0;3738.0;3684.0;3738.0;3738.0;3926.0;3738.0;3926.0;3926.0
CVRP_1;2988.0;3010.0;2988.0;2988.0;3010.0;2988.0;3010.0;3010.0;2986.0;3010.0;3010.0;2988.0;3010.0;2988.0;2988.0
HFVRP_p3;5632.0;5632.0;5632.0;5632.0;5632.0;5632.0;5632.0;5632.0;5632.0;5632.0;5632.0;5632.0;5632.0;5632.0;5632.0
C1_4_5;9112.0;9146.0;9150.0;9112.0;9146.0;9154.0;9180.0;9122.0;9140.0;9146.0;9122.0;9154.0;9180.0;9154.0;9150.0
HFVRP_p5;2008.0;1938.0;2008.0;2008.0;1938.0;2008.0;1938.0;1938.0;2014.0;1938.0;1938.0;2008.0;1938.0;2008.0;2008.0
