Instance;SEQUENTIAL_CHEAPEST_INSERTION_and_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;SAVINGS_and_GUIDED_LOCAL_SEARCH;EVALUATOR_STRATEGY_and_GREEDY_DESCENT;GLOBAL_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH
HFVRP_4;0.289251708984375;0.25443928241729735;0.25509257316589357;0.25497734546661377;0.25434041023254395
C1_4_9;5.744708609580994;5.3398813009262085;5.3463660955429075;5.354249620437622;5.356620860099793
C1_6_4;15.404512286186218;15.386269593238831;15.408246326446534;15.375805282592774;15.369238924980163
C1_6_5;15.447659873962403;15.604248118400573;15.430507135391235;15.46461250782013;15.451811146736144
C1_2_7;1.7386004447937011;1.7295305728912354;1.7449564933776855;1.7477042436599732;1.740915870666504
C1_4_10;5.749646759033203;5.344445991516113;5.371107530593872;5.352717924118042;5.3464536428451535
HFVRP_p14;4.890882134437561;4.883320450782776;4.880620169639587;4.877856516838074;4.890441298484802
C1_2_6;1.7364144325256348;1.7387938261032105;1.7494529724121093;1.7385014772415162;1.7431665420532227
CVRP_p5;0.6201025485992432;0.48599092960357665;0.4210549831390381;0.6220559120178223;0.5875162124633789
CVRP_4;0.1385033130645752;0.13872075080871582;0.13782339096069335;0.13759992122650147;0.1382702112197876
C1_4_7;5.7660126209259035;5.360326886177063;5.347777414321899;5.353003215789795;5.380512952804565
C1_4_1;5.745412349700928;5.341709423065185;5.3414116382598875;5.315359115600586;5.327773070335388
C1_6_3;15.406942534446717;15.39974889755249;15.437344002723695;15.402749061584473;15.419474959373474
C1_2_1;1.7438422441482544;1.746234083175659;1.7413541078567505;1.741310954093933;1.7467567443847656
CVRP_p3;0.17981748580932616;0.27426843643188475;0.274052357673645;0.2749799728393555;0.27610857486724855
C1_6_2;15.474281764030456;15.457498478889466;15.466872787475586;15.496379971504211;15.45431399345398
C1_4_4;5.764715027809143;5.351103568077088;5.350499892234803;5.337808680534363;5.360071468353271
C1_2_5;1.7313990116119384;1.7363072395324708;1.7380246639251709;1.7448355674743652;1.7348762989044189
C1_4_3;5.829171156883239;5.363626480102539;5.373999881744385;5.363930439949035;5.364998316764831
HFVRP_1;0.1313312530517578;0.131390380859375;0.12961344718933104;0.2042398452758789;0.13130509853363037
C1_4_2;5.761485242843628;5.346481919288635;5.347133612632751;5.333684515953064;5.374157810211182
C1_2_3;1.76067795753479;1.7722117900848389;1.746880555152893;1.751065230369568;1.761351466178894
C1_4_6;5.741648697853089;5.362627983093262;5.342751407623291;5.340814328193664;5.370736718177795
C1_4_8;5.767592453956604;5.3685160160064695;5.372272801399231;5.364583349227905;5.391543626785278
C1_2_10;1.7505187749862672;1.7351677894592286;1.7348666191101074;1.7435460567474366;1.7413118839263917
C1_2_4;1.7316370010375977;1.731779980659485;1.73588125705719;1.742240571975708;1.728491735458374
C1_6_1;15.551246309280396;15.461452269554139;15.689172768592835;16.631891822814943;15.60100827217102
CVRP_p14;5.224395036697388;5.2416020154953005;5.231558227539063;5.229164552688599;5.221494102478028
C1_2_8;1.7417583227157594;1.7473023891448975;1.738232135772705;1.7346259117126466;1.7342716455459595
C1_2_9;1.7428236722946167;1.7405228853225707;1.743025827407837;1.7349870204925537;1.7362015008926392
C1_2_2;1.731973695755005;1.7288975954055785;1.7372150897979737;1.7464898109436036;1.7338818311691284
CVRP_1;0.16856760978698732;0.16772098541259767;0.16825828552246094;0.16863391399383545;0.16800451278686523
HFVRP_p3;0.2968632459640503;0.2476489543914795;0.2467349052429199;0.2813627004623413;0.3228429317474365
C1_4_5;5.78560848236084;5.418058514595032;5.725637269020081;5.501371932029724;5.390222144126892
HFVRP_p5;0.43681793212890624;0.4364485263824463;0.4394028663635254;0.4369539737701416;0.43716959953308104
