Instance;SWEEP_&_TABU_SEARCH;LOCAL_CHEAPEST_ARC_&_GENERIC_TABU_SEARCH;CHRISTOFIDES_&_GREEDY_DESCENT;ALL_UNPERFORMED_&_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_&_TABU_SEARCH;CHRISTOFIDES_&_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_&_TABU_SEARCH;CHRISTOFIDES_&_TABU_SEARCH;SAVINGS_&_SIMULATED_ANNEALING;EVALUATOR_STRATEGY_&_GUIDED_LOCAL_SEARCH;EVALUATOR_STRATEGY_&_GREEDY_DESCENT;PATH_MOST_CONSTRAINED_ARC_&_GREEDY_DESCENT;SEQUENTIAL_CHEAPEST_INSERTION_&_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_&_GUIDED_LOCAL_SEARCH;ALL_UNPERFORMED_&_GREEDY_DESCENT;LOCAL_CHEAPEST_COST_INSERTION_&_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_&_GUIDED_LOCAL_SEARCH;PATH_MOST_CONSTRAINED_ARC_&_GENERIC_TABU_SEARCH;BEST_INSERTION_&_SIMULATED_ANNEALING;SAVINGS_&_TABU_SEARCH;BEST_INSERTION_&_GREEDY_DESCENT;CHRISTOFIDES_&_GENERIC_TABU_SEARCH;BEST_INSERTION_&_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_&_GENERIC_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_&_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_&_TABU_SEARCH;GLOBAL_CHEAPEST_ARC_&_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_&_SIMULATED_ANNEALING;SAVINGS_&_GENERIC_TABU_SEARCH;SWEEP_&_GENERIC_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_&_TABU_SEARCH;PATH_CHEAPEST_ARC_&_GREEDY_DESCENT;SWEEP_&_SIMULATED_ANNEALING;LOCAL_CHEAPEST_INSERTION_&_GENERIC_TABU_SEARCH;SWEEP_&_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_ARC_&_TABU_SEARCH;PATH_CHEAPEST_ARC_&_GUIDED_LOCAL_SEARCH;FIRST_UNBOUND_MIN_VALUE_&_TABU_SEARCH;BEST_INSERTION_&_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_ARC_&_GREEDY_DESCENT;FIRST_UNBOUND_MIN_VALUE_&_GENERIC_TABU_SEARCH;PARALLEL_CHEAPEST_INSERTION_&_GENERIC_TABU_SEARCH;BEST_INSERTION_&_TABU_SEARCH;PATH_CHEAPEST_ARC_&_GENERIC_TABU_SEARCH;EVALUATOR_STRATEGY_&_SIMULATED_ANNEALING;SEQUENTIAL_CHEAPEST_INSERTION_&_SIMULATED_ANNEALING;PATH_CHEAPEST_ARC_&_SIMULATED_ANNEALING;FIRST_UNBOUND_MIN_VALUE_&_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_ARC_&_SIMULATED_ANNEALING;LOCAL_CHEAPEST_INSERTION_&_GUIDED_LOCAL_SEARCH;ALL_UNPERFORMED_&_SIMULATED_ANNEALING;LOCAL_CHEAPEST_INSERTION_&_GREEDY_DESCENT;SWEEP_&_GREEDY_DESCENT;GLOBAL_CHEAPEST_ARC_&_GENERIC_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_&_SIMULATED_ANNEALING;PATH_MOST_CONSTRAINED_ARC_&_GUIDED_LOCAL_SEARCH;ALL_UNPERFORMED_&_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_&_SIMULATED_ANNEALING;SAVINGS_&_GREEDY_DESCENT;FIRST_UNBOUND_MIN_VALUE_&_SIMULATED_ANNEALING;GLOBAL_CHEAPEST_ARC_&_TABU_SEARCH;ALL_UNPERFORMED_&_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_&_GREEDY_DESCENT;LOCAL_CHEAPEST_ARC_&_GUIDED_LOCAL_SEARCH;GLOBAL_CHEAPEST_ARC_&_SIMULATED_ANNEALING;FIRST_UNBOUND_MIN_VALUE_&_GREEDY_DESCENT;GLOBAL_CHEAPEST_ARC_&_GREEDY_DESCENT;EVALUATOR_STRATEGY_&_GENERIC_TABU_SEARCH;PATH_CHEAPEST_ARC_&_TABU_SEARCH;SAVINGS_&_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_&_GREEDY_DESCENT;CHRISTOFIDES_&_SIMULATED_ANNEALING;LOCAL_CHEAPEST_COST_INSERTION_&_GREEDY_DESCENT;EVALUATOR_STRATEGY_&_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_&_SIMULATED_ANNEALING
C1_4_7;7249;7249;7249;7245;7245;7245;7249;7249;7249;7249;7245;7250;7249;7245;7245;7249;7249;7249;7249;7245;7249;7249;7249;7249;7249;7249;7249;7245;7249;7249;7249;7346;7245;7245;7249;7249;7329;7249;7249;7249;7245;7249;7245;7333;7249;7249;7455;7249;7249;7249;7249;7245;7249;7249;7249;7245;7249;7249;7249;7249;7249;7249;7249;7245;7245;7245;7249;7245;7393;7249;7249;7249;7249;7249;7249
C1_4_1;7249;7249;7249;7245;7245;7245;7249;7249;7249;7249;7245;7250;7249;7245;7245;7249;7249;7249;7249;7245;7249;7249;7249;7249;7249;7249;7249;7245;7249;7249;7249;7346;7245;7245;7249;7249;7329;7249;7249;7249;7245;7249;7245;7333;7249;7249;7455;7249;7249;7249;7249;7245;7249;7249;7249;7245;7249;7249;7249;7249;7249;7249;7249;7245;7245;7245;7249;7245;7393;7249;7249;7249;7249;7249;7249
C1_6_3;14148;14593;14240;14216;14148;14148;14240;14216;14514;14240;14385;14148;14385;14240;14148;14385;14514;14148;14148;14216;14639;14240;14216;14593;14514;14240;14148;14216;14148;14385;14235;14643;14240;14148;14639;14148;14656;14514;14240;14148;14216;14148;14593;14216;14148;14148;14383;14240;14240;14148;14240;14216;14216;14240;14639;14593;14514;14240;14240;14148;14514;14148;14593;14216;14593;14637;14216;14637;14777;14148;14148;14593;14514;14518;14216
C1_2_1;2829;2829;2829;2793;2793;2793;2829;2793;2829;2829;2793;2829;2793;2793;2793;2793;2829;2829;2829;2793;2829;2829;2793;2829;2829;2829;2829;2793;2829;2793;2793;2873;2793;2793;2829;2793;2830;2829;2829;2829;2793;2793;2793;2793;2793;2829;2793;2829;2829;2829;2793;2793;2793;2793;2829;2793;2829;2829;2829;2793;2829;2829;2829;2793;2793;2793;2793;2793;2829;2793;2793;2829;2829;2829;2793
CVRP_p3;4133;4133;4133;4172;4172;4172;4133;4172;4133;4133;4172;4133;4172;4172;4172;4172;4133;4133;4133;4172;4133;4133;4172;4133;4133;4133;4133;4172;4133;4172;4172;4157;4172;4172;4133;4172;4159;4133;4133;4133;4172;4172;4172;4172;4172;4133;4150;4133;4133;4133;4172;4172;4172;4172;4133;4172;4133;4133;4133;4172;4133;4133;4133;4172;4172;4172;4172;4172;4133;4172;4172;4133;4133;4133;4172
C1_6_2;14515;14593;14224;14565;14224;14148;14149;14639;14691;14240;14216;14148;14216;14240;14385;14148;14593;14665;14216;14216;14362;14216;14243;14383;14148;14216;14148;14240;14148;14216;14243;14643;14243;14148;14553;14148;14656;14691;14240;14586;14240;14367;14367;14216;14148;14148;14383;14243;14240;14385;14216;14243;14216;14243;14518;14593;14637;14243;14243;14637;14639;14148;14216;14383;14216;14216;14240;14637;14777;14385;14148;14385;14240;14593;14243
C1_4_4;7249;7249;7249;7245;7245;7245;7249;7245;7249;7249;7245;7250;7245;7245;7245;7249;7249;7249;7249;7245;7249;7249;7245;7249;7249;7249;7249;7245;7249;7245;7249;7346;7245;7245;7249;7249;7329;7249;7249;7249;7245;7245;7245;7333;7249;7249;7455;7249;7249;7249;7245;7245;7245;7249;7249;7245;7249;7249;7249;7249;7249;7249;7249;7245;7245;7245;7249;7245;7393;7245;7245;7249;7249;7249;7245
C1_2_5;2829;2829;2829;2793;2793;2793;2829;2793;2829;2829;2793;2829;2793;2793;2793;2793;2829;2829;2829;2793;2829;2829;2793;2829;2829;2829;2829;2793;2829;2793;2793;2873;2793;2793;2829;2793;2830;2829;2829;2829;2793;2793;2793;2793;2793;2829;2793;2829;2829;2829;2793;2793;2793;2793;2829;2793;2829;2829;2829;2793;2829;2829;2829;2793;2793;2793;2793;2793;2829;2793;2793;2829;2829;2829;2793
C1_4_3;7249;7249;7249;7245;7245;7245;7249;7249;7249;7249;7245;7250;7249;7245;7245;7249;7249;7249;7249;7245;7249;7249;7249;7249;7249;7249;7249;7245;7249;7249;7249;7346;7245;7245;7249;7249;7329;7249;7249;7249;7245;7249;7245;7333;7249;7249;7455;7249;7249;7249;7249;7245;7249;7249;7249;7245;7249;7249;7249;7249;7249;7249;7249;7245;7245;7245;7249;7245;7393;7249;7249;7249;7249;7249;7249
HFVRP_1;3241;3241;3241;3241;3241;3241;3241;3241;3241;3241;3241;3227;3241;3241;3241;3241;3241;3241;3241;3241;3241;3241;3241;3241;3241;3241;3241;3241;3241;3241;3241;3259;3241;3241;3241;3241;3258;3241;3241;3241;3241;3241;3241;3254;3241;3241;3230;3241;3241;3241;3241;3241;3241;3241;3241;3234;3241;3241;3241;3241;3241;3241;3241;3241;3241;3241;3241;3241;3225;3241;3241;3241;3241;3241;3241
