Instance;SWEEP_&_TABU_SEARCH;LOCAL_CHEAPEST_ARC_&_GENERIC_TABU_SEARCH;CHRISTOFIDES_&_GREEDY_DESCENT;ALL_UNPERFORMED_&_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_&_TABU_SEARCH;CHRISTOFIDES_&_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_&_TABU_SEARCH;CHRISTOFIDES_&_TABU_SEARCH;SAVINGS_&_SIMULATED_ANNEALING;EVALUATOR_STRATEGY_&_GUIDED_LOCAL_SEARCH;EVALUATOR_STRATEGY_&_GREEDY_DESCENT;PATH_MOST_CONSTRAINED_ARC_&_GREEDY_DESCENT;SEQUENTIAL_CHEAPEST_INSERTION_&_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_&_GUIDED_LOCAL_SEARCH;ALL_UNPERFORMED_&_GREEDY_DESCENT;LOCAL_CHEAPEST_COST_INSERTION_&_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_&_GUIDED_LOCAL_SEARCH;PATH_MOST_CONSTRAINED_ARC_&_GENERIC_TABU_SEARCH;BEST_INSERTION_&_SIMULATED_ANNEALING;SAVINGS_&_TABU_SEARCH;BEST_INSERTION_&_GREEDY_DESCENT;CHRISTOFIDES_&_GENERIC_TABU_SEARCH;BEST_INSERTION_&_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_&_GENERIC_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_&_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_&_TABU_SEARCH;GLOBAL_CHEAPEST_ARC_&_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_&_SIMULATED_ANNEALING;SAVINGS_&_GENERIC_TABU_SEARCH;SWEEP_&_GENERIC_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_&_TABU_SEARCH;PATH_CHEAPEST_ARC_&_GREEDY_DESCENT;SWEEP_&_SIMULATED_ANNEALING;LOCAL_CHEAPEST_INSERTION_&_GENERIC_TABU_SEARCH;SWEEP_&_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_ARC_&_TABU_SEARCH;PATH_CHEAPEST_ARC_&_GUIDED_LOCAL_SEARCH;FIRST_UNBOUND_MIN_VALUE_&_TABU_SEARCH;BEST_INSERTION_&_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_ARC_&_GREEDY_DESCENT;FIRST_UNBOUND_MIN_VALUE_&_GENERIC_TABU_SEARCH;PARALLEL_CHEAPEST_INSERTION_&_GENERIC_TABU_SEARCH;BEST_INSERTION_&_TABU_SEARCH;PATH_CHEAPEST_ARC_&_GENERIC_TABU_SEARCH;EVALUATOR_STRATEGY_&_SIMULATED_ANNEALING;SEQUENTIAL_CHEAPEST_INSERTION_&_SIMULATED_ANNEALING;PATH_CHEAPEST_ARC_&_SIMULATED_ANNEALING;FIRST_UNBOUND_MIN_VALUE_&_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_ARC_&_SIMULATED_ANNEALING;LOCAL_CHEAPEST_INSERTION_&_GUIDED_LOCAL_SEARCH;ALL_UNPERFORMED_&_SIMULATED_ANNEALING;LOCAL_CHEAPEST_INSERTION_&_GREEDY_DESCENT;SWEEP_&_GREEDY_DESCENT;GLOBAL_CHEAPEST_ARC_&_GENERIC_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_&_SIMULATED_ANNEALING;PATH_MOST_CONSTRAINED_ARC_&_GUIDED_LOCAL_SEARCH;ALL_UNPERFORMED_&_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_&_SIMULATED_ANNEALING;SAVINGS_&_GREEDY_DESCENT;FIRST_UNBOUND_MIN_VALUE_&_SIMULATED_ANNEALING;GLOBAL_CHEAPEST_ARC_&_TABU_SEARCH;ALL_UNPERFORMED_&_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_&_GREEDY_DESCENT;LOCAL_CHEAPEST_ARC_&_GUIDED_LOCAL_SEARCH;GLOBAL_CHEAPEST_ARC_&_SIMULATED_ANNEALING;FIRST_UNBOUND_MIN_VALUE_&_GREEDY_DESCENT;GLOBAL_CHEAPEST_ARC_&_GREEDY_DESCENT;EVALUATOR_STRATEGY_&_GENERIC_TABU_SEARCH;PATH_CHEAPEST_ARC_&_TABU_SEARCH;SAVINGS_&_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_&_GREEDY_DESCENT;CHRISTOFIDES_&_SIMULATED_ANNEALING;LOCAL_CHEAPEST_COST_INSERTION_&_GREEDY_DESCENT;EVALUATOR_STRATEGY_&_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_&_SIMULATED_ANNEALING
C1_2_3;3055;3078;3141;3151;3078;3149;3078;3168;2982;2929;2932;3217;3078;3078;3278;3078;3078;3298;3101;3192;3081;3133;3137;3078;3078;3078;3078;3078;3128;3188;3001;3215;3174;3078;3058;3078;3100;3078;3078;3078;3078;3078;3462;3055;3377;3078;3129;3078;3078;3078;3054;3078;2828;3078;3076;3164;2977;3078;3041;3078;3078;3069;3078;3078;3078;3078;3078;3105;3179;3065;3078;2930;3078;2947;3078
C1_6_3;16520;16489;16591;16643;16652;16857;16718;16424;16557;16681;16722;16753;16744;16794;16541;16731;17075;16625;16540;16536;16778;16702;16758;16707;16694;16605;16709;16732;16672;16696;16729;17820;16474;16301;16268;16453;18975;15778;16321;16432;16383;16414;16681;16749;16419;16625;16613;16524;16425;16803;16653;16619;16481;16839;16805;16548;16773;16417;16588;16776;16419;16568;16581;16586;16917;16847;16767;16923;17157;16670;16499;16498;16660;16574;16737
C1_2_10;2920;2997;2997;2920;2997;3344;2916;2957;2957;2872;2916;2902;3344;2914;3112;2920;3112;2861;3344;3013;2914;3013;2997;3344;2902;2861;2957;2861;3112;2914;3112;2976;2872;2916;2916;2914;2920;3013;2957;2916;3112;2872;2902;3344;2920;2997;2914;2902;2920;3013;2916;2957;2861;2861;3013;2957;2861;2914;3344;2957;3112;2872;2920;2872;3013;3344;2902;2997;2997;2902;3013;2902;2872;2914;3112
C1_2_9;2963;2963;2963;2963;2963;2963;2963;2963;2963;2963;2963;2963;2963;2963;2963;2963;2963;2963;2963;2963;2963;2963;2963;2963;2963;2963;2963;2963;2963;2963;2963;2963;2963;2963;2963;2963;2963;2963;2963;2963;2963;2963;2963;2963;2963;2963;2963;2963;2963;2963;2963;2963;2963;2963;2963;2963;2963;2963;2963;2963;2963;2963;2963;2963;2963;2963;2963;2963;2963;2963;2963;2963;2963;2963;2963
C1_2_6;3148;3153;2982;3215;2976;3113;3250;2987;3287;3215;3091;3036;3287;2976;3289;3287;3196;3243;2864;2859;3143;3160;2929;3250;3153;3153;3153;2878;2959;3085;3333;3065;3181;2976;3055;3287;3143;3153;3150;3153;2976;3287;3083;3105;3015;3250;2989;3250;3250;3250;3284;2976;2894;3287;3061;3360;3192;3153;3040;3287;3250;3149;3153;2976;2976;2976;3287;2996;3203;3111;2976;3125;3250;2982;3287
C1_4_6;7754;7869;7696;8242;8060;7924;7900;8026;8085;7896;7974;7814;7696;8255;7974;8275;8176;7893;7855;8176;7928;7989;8145;8418;7943;7696;7893;7957;7957;7746;7974;8389;7786;7746;7990;7978;8116;7943;8000;7957;7478;7940;7911;8202;7754;7651;7696;7696;7733;7990;7895;7893;7769;8171;8342;7989;7902;7871;7928;7696;7865;8201;7978;7651;8193;8116;7855;7855;7696;7871;7983;7871;8193;7746;7989
C1_4_4;7595;7724;7599;7613;7599;7712;7657;7533;7690;7706;7731;7730;7628;7800;7723;7631;7550;7663;7733;7578;7624;7677;7768;7851;7719;7779;7704;7651;7723;7686;7657;8151;7680;7635;7625;7779;7859;7571;7655;7658;7617;7734;7603;7676;7700;7747;7669;7599;7657;7710;7634;7714;7671;7732;7521;7807;7702;7625;7631;7825;7672;7815;7691;7622;7738;7624;7752;7707;7747;7832;7554;7663;7491;7796;7660
C1_2_2;3097;2942;3202;2963;3025;3196;2937;3032;2972;3251;3053;3073;3276;3023;2821;3396;2962;3083;2880;3225;3132;3091;3138;3007;3124;2978;3110;3040;3042;2912;3190;3443;2942;3353;3082;2994;3359;2951;3221;3174;3247;2761;3115;3434;3213;3488;3351;3076;3131;3093;3197;3137;3034;3292;2981;3199;2989;3071;2940;2991;3168;2967;3247;3004;3250;3027;3443;2898;3185;3130;2959;3133;2896;3020;3017
C1_6_5;16631;16871;16502;17030;16136;16085;16565;16509;16589;16639;16435;16535;16756;16807;16836;16589;16561;16754;16468;16816;16883;17019;17208;16459;16730;16888;16454;17262;16809;16630;16350;18448;16665;16453;16980;16253;16505;16550;16380;16966;16892;16497;16900;16820;16719;16430;17001;16906;16779;17310;16918;16494;16432;16796;16629;16986;16856;16629;16939;16432;16846;16663;16837;16411;16446;16489;16755;16532;16880;16797;16623;16782;16488;16635;16526
C1_2_1;2990;3315;3226;3226;3226;2990;3226;3226;2990;2990;3226;2990;3315;3226;3315;2990;2990;3315;3226;3315;2990;2990;3315;2990;3226;2990;3226;3315;3226;3315;2990;3315;3226;3315;3315;2990;3226;3226;3315;2990;2990;2990;2990;3226;3315;2990;2990;2990;3226;3315;2990;2990;2990;3226;3226;3315;3226;3315;3315;3315;3315;3315;3315;3315;2990;3226;3315;2990;3315;3226;3226;3315;3226;3226;3226
C1_4_3;7916;7982;7839;7916;7814;7723;7916;7916;7836;7768;7812;7763;7916;7895;7763;7950;7942;7832;7878;7827;7874;7978;8010;7962;7982;7842;7779;7913;7834;7842;7879;8003;7927;7982;7743;7912;7721;7871;7869;7875;7906;7982;7819;7938;7784;7875;7823;7836;7767;7711;7897;7935;7870;7832;7760;7839;7954;7970;7937;7983;7916;7916;7835;7874;8015;7904;8102;7880;8120;7798;8073;8021;7879;7856;7876
C1_6_2;18839;17211;19233;17642;16759;17273;16987;17352;16985;19902;17091;17261;19688;17059;17503;17383;16862;17473;16944;17323;17228;17336;17407;17431;17337;17235;17125;17246;17500;17050;17649;20012;17680;16970;20024;19247;19812;17283;17534;17860;17438;19214;17319;18233;17199;17643;19430;16855;17282;17071;17176;16887;17443;17113;16939;17228;17503;16942;17323;17090;19456;17174;17377;17261;17214;17389;16924;17457;17181;17082;17232;17362;17364;19733;17270
C1_4_7;7477;7749;7923;7800;7669;7746;7961;7661;7896;7912;7633;8289;7477;7668;7477;7685;7477;7904;7688;7714;7799;7875;7699;7477;7715;7668;7830;7793;7746;7669;7664;7942;7773;7729;7477;7477;8187;7680;7477;7600;7477;7740;7750;7878;7849;7838;7688;7830;7668;7830;7477;7477;7779;7900;7954;8238;7894;7477;7670;7843;7673;7830;7680;7477;7689;7688;7668;7477;8143;7914;7885;7689;7915;7751;7680
C1_6_4;15800;15910;15375;15820;15399;15148;16178;15693;15763;16014;15686;16327;15642;15351;15470;15691;15616;15711;15475;15626;15806;15363;15994;15390;15296;16016;15560;15366;15727;15810;15608;16618;15439;15521;15231;15492;15842;15706;15360;15439;15349;15655;15691;15727;15581;15352;15805;16033;15517;15912;15773;15422;15483;15633;15656;15672;15327;15766;15638;15643;15479;15738;15764;15160;15349;15619;15658;15407;16111;15428;16053;15240;15674;15591;15365
C1_4_8;7664;7557;7690;7964;7995;7836;7686;7758;7785;7924;8004;8097;7690;7652;7750;7755;7755;7786;7752;7758;7755;7755;7797;7622;7804;7755;7897;7907;7786;7855;7845;8475;7755;7786;7924;7746;7883;7656;7814;7630;7845;7855;7742;7849;7623;7717;8047;7630;7686;7561;7779;7690;7791;7815;7841;7855;7779;7782;8044;7740;7816;7855;7845;7845;7815;7804;7719;7904;8238;7787;7797;7745;7797;7797;7687
