Instance;SAVINGS_and_GREEDY_DESCENT;BEST_INSERTION_and_GREEDY_DESCENT;PATH_CHEAPEST_ARC_and_GREEDY_DESCENT;LOCAL_CHEAPEST_ARC_and_GREEDY_DESCENT;PARALLEL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;GLOBAL_CHEAPEST_ARC_and_GREEDY_DESCENT;LOCAL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;LOCAL_CHEAPEST_COST_INSERTION_and_GREEDY_DESCENT;ALL_UNPERFORMED_and_GREEDY_DESCENT;PATH_MOST_CONSTRAINED_ARC_and_GREEDY_DESCENT;SWEEP_and_GREEDY_DESCENT;CHRISTOFIDES_and_GREEDY_DESCENT;FIRST_UNBOUND_MIN_VALUE_and_GREEDY_DESCENT;SEQUENTIAL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;EVALUATOR_STRATEGY_and_GREEDY_DESCENT
C1_4_1;55.46004452705383;60.02092998027801;60.00691957473755;60.01143183708191;48.62124168872833;60.01292521953583;59.28773803710938;53.4185786485672;60.00838787555695;60.00591232776642;613.656656742096;59.98078732490539;60.005455827713014;47.764226412773134;613.656656742096
C1_2_7;9.133737635612487;5.844248080253601;10.689741325378417;8.68779103755951;7.952535009384155;6.53197340965271;8.584317350387574;8.211548161506652;5.8539525985717775;9.225058579444886;7.200040446387397;9.220055866241456;12.48008599281311;7.423335289955139;6.82668940226237
C1_4_10;33.391853141784665;49.668390202522275;49.79715523719788;39.6482595205307;43.72817122936249;40.09788658618927;52.85625188350677;47.610714530944826;35.00394098758697;40.39436590671539;32.91020419862535;44.12223072052002;39.44253542423248;48.059454560279846;41.2138839562734
C1_4_2;41.86340811252594;43.60088322162628;49.12002284526825;40.70146732330322;38.19508998394012;42.67621600627899;43.38337342739105;42.34916739463806;40.67090833187103;41.88964900970459;40.4712561501397;43.21561069488526;48.64642555713654;39.563983130455014;33.24791547987196
C1_4_9;48.847645831108096;42.80081968307495;49.87118890285492;33.30610365867615;47.45103447437286;47.27920038700104;38.50270586013794;40.427039575576785;35.21156768798828;50.348487448692325;39.856625106599594;37.49786810874939;41.74907014369965;39.64162237644196;40.961135970221626
C1_2_5;9.316397404670715;0.8773043394088745;14.371693468093872;27.9530818939209;15.043106150627136;1.445012092590332;21.103481364250182;11.980823922157288;0.04911096096038818;15.568420386314392;603.9935636520386;17.29014344215393;60.003623723983765;16.31761543750763;603.9935636520386
C1_2_4;25.06022427082062;0.7986608982086182;41.50385594367981;0.409369969367981;31.98709864616394;1.6941572189331056;43.42159686088562;23.53055865764618;0.05037178993225098;41.02742514610291;603.0674052238464;37.8768149137497;60.004502177238464;30.04181718826294;603.0674052238464
C1_2_8;12.324732637405395;0.8226669788360595;26.265768194198607;26.151790070533753;15.154680466651916;1.4598107814788819;24.683186078071593;17.037476825714112;0.04946315288543701;24.36300709247589;2224.877505302429;28.755785441398622;60.004434037208554;21.503871607780457;2224.877505302429
C1_4_5;40.42448575496674;34.28688657283783;45.64418566226959;41.52321190834046;40.18477547168732;50.68188955783844;40.58249666690826;40.2750878572464;33.5033821105957;33.993790245056154;42.88816234800551;44.79802758693695;27.460925030708314;29.796755290031435;34.8134163485633
C1_6_1;60.01293399333954;8.047189402580262;60.023065853118894;60.026028060913085;60.03546345233917;15.217894005775452;60.02461268901825;60.011463618278505;0.26575336456298826;60.023420214653015;1049.8165845870972;60.020836520195004;60.00941729545593;60.01821393966675;1049.8165845870972
C1_2_3;11.174564599990845;10.061276292800903;10.132057547569275;10.024524283409118;14.139933609962464;7.853896927833557;13.78091320991516;10.638248991966247;7.708616137504578;13.407526350021362;11.565502590603298;12.461492896080017;17.315568566322327;10.062613987922669;12.417650408214993
C1_6_3;60.01677346229553;7.836186838150025;60.018372082710265;60.03320319652558;60.0192287683487;15.516241097450257;60.01773467063904;60.030457973480225;0.25117266178131104;63.90641357898712;17300.07817029953;60.014261627197264;75.60525004863739;60.01651022434235;17300.07817029953
C1_2_10;8.43976366519928;10.187758684158325;10.515061616897583;12.267437767982482;12.352061748504639;9.917246341705322;13.986744403839111;9.684450221061706;7.669344687461853;9.636940932273864;9.915238618850708;12.39500389099121;13.00764286518097;9.107853293418884;8.060167524549696
C1_2_9;7.775187849998474;6.652800559997559;13.487610268592835;10.162293863296508;8.495194935798645;6.6594496965408325;10.087623000144958;8.786277055740356;6.557497239112854;11.049917268753052;7.638163752026028;10.303150534629822;12.788347697257995;8.065914964675903;7.36826311217414
C1_2_6;21.192167496681215;0.7650800228118897;22.57148697376251;29.153049302101135;13.349609541893006;1.6707754135131836;21.688851022720335;17.572194170951843;0.046297883987426756;17.028431487083434;602.4720215797424;21.28736810684204;60.004258322715756;14.643963074684143;602.4720215797424
C1_4_6;38.93505506515503;38.80305924415588;38.82007920742035;38.86887612342834;35.46945495605469;35.30873289108276;35.727742719650266;39.27442736625672;35.886817717552184;37.67064538002014;32.58871915605333;38.64842953681946;35.94898791313172;38.49077160358429;41.915991677178276
C1_4_4;59.931627130508424;60.019120168685916;60.01068978309631;60.017951130867004;60.010020565986636;60.01590597629547;60.007906556129456;60.0114025592804;60.02039737701416;60.005588912963866;601.1615228652954;60.00585572719574;60.007339930534364;60.00651218891144;601.1615228652954
C1_2_2;8.975204753875733;7.8082010507583615;9.555377769470216;6.254962968826294;9.790128922462463;6.871638822555542;9.409243893623351;8.031540560722352;6.46538279056549;8.101850938796996;7.667550404866536;11.518386244773865;14.695117616653443;7.94879903793335;8.124781211217245
C1_2_1;13.422728252410888;0.7612349987030029;23.967595386505128;24.989058446884155;11.586530303955078;1.521004557609558;11.07796332836151;12.046506023406982;0.04828181266784668;14.001203179359436;603.8272380828857;22.55704267024994;60.003519201278685;11.788774681091308;603.8272380828857
C1_4_3;51.15671546459198;50.08449378013611;58.16217360496521;48.69447720050812;53.194692492485046;47.28290152549744;50.31671848297119;48.715798544883725;48.56564552783966;48.28080048561096;51.57537841796875;51.28792569637299;49.034986305236814;53.28066794872284;49.77191609806485
C1_6_2;60.01354827880859;7.128865385055542;60.013701581954955;60.01904284954071;60.01389577388763;14.236530637741089;60.01215298175812;60.015535950660706;0.2894542932510376;60.01389644145966;613.4853458404541;60.01675488948822;60.01018691062927;60.011143755912784;613.4853458404541
C1_4_7;32.392349767684934;34.10237083435059;41.48437294960022;32.36547710895538;29.012633442878723;29.954665780067444;27.74916708469391;34.86455891132355;36.986033415794374;44.22887117862702;41.043787717819214;40.23612687587738;28.350513100624084;29.462439227104188;30.331372843848335
C1_4_8;33.321039247512815;43.91653938293457;40.496510076522824;35.97486834526062;38.56875874996185;43.2868349313736;48.61256964206696;43.00424249172211;35.91463339328766;35.39797947406769;36.49565998713175;42.30290763378143;37.846089887619016;36.93442552089691;33.31800227695041
