Instance;PATH_MOST_CONSTRAINED_ARC_and_GENERIC_TABU_SEARCH;ALL_UNPERFORMED_and_GREEDY_DESCENT;PARALLEL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;SAVINGS_and_SIMULATED_ANNEALING;PATH_MOST_CONSTRAINED_ARC_and_TABU_SEARCH
C1_4_1;60.011915826797484;60.00838787555695;60.00557465553284;60.033779692649844;60.00596225261688
C1_2_7;17.56967086791992;5.8539525985717775;17.50102632045746;16.965043663978577;18.242663049697875
C1_4_10;39.024024271965025;35.00394098758697;39.19595122337341;41.5092054605484;40.15483934879303
C1_4_2;41.24774899482727;40.67090833187103;41.42035927772522;39.23215341567993;40.93327805995941
C1_4_9;37.66279847621918;35.21156768798828;40.85611536502838;34.382737803459165;46.692911195755
C1_2_5;60.00229794979096;0.04911096096038818;60.03458433151245;60.004200267791745;60.003589677810666
C1_2_4;60.00237250328064;0.05037178993225098;60.004806423187254;60.01830792427063;60.00872318744659
C1_2_8;60.00811319351196;0.04946315288543701;60.003555274009706;60.00315370559692;60.002707433700564
C1_4_5;36.0857715845108;33.5033821105957;43.861181545257566;39.960547304153444;37.82712826728821
C1_6_1;60.02271671295166;0.26575336456298826;60.01319699287414;60.01290352344513;60.01018581390381
C1_2_3;13.0846843957901;7.708616137504578;13.949288463592529;14.166379356384278;14.14363272190094
C1_6_3;60.01288831233978;0.25117266178131104;60.01412379741669;60.013387537002565;60.01156980991364
C1_2_10;13.411758542060852;7.669344687461853;16.04527485370636;12.396734237670898;12.630393862724304
C1_2_9;12.518841791152955;6.557497239112854;12.5698828458786;12.55729546546936;12.57209815979004
C1_2_6;60.00522139072418;0.046297883987426756;60.003607869148254;60.019230818748476;60.00580608844757
C1_4_6;32.0079199552536;35.886817717552184;39.40719618797302;38.75388188362122;34.10392799377441
C1_4_4;60.00675756931305;60.02039737701416;60.004913210868835;60.00642645359039;60.00590295791626
C1_2_2;12.958431315422057;6.46538279056549;13.485901498794556;12.954851269721985;13.323906874656677
C1_2_1;60.002669882774356;0.04828181266784668;60.00388147830963;60.01321437358856;60.041129398345944
C1_4_3;53.64644331932068;48.56564552783966;47.34851722717285;48.49542937278748;52.157682752609254
C1_6_2;60.023344087600705;0.2894542932510376;60.018950414657596;60.012840962409975;60.011238956451415
C1_4_7;38.20904562473297;36.986033415794374;31.533966398239137;37.96751670837402;39.86619863510132
C1_4_8;45.39092471599579;35.91463339328766;38.43587684631348;36.658881759643556;36.526324558258054
