Instance;ALL_UNPERFORMED_and_TABU_SEARCH;PATH_CHEAPEST_ARC_and_TABU_SEARCH;LOCAL_CHEAPEST_ARC_and_TABU_SEARCH;BEST_INSERTION_and_TABU_SEARCH;SAVINGS_and_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_TABU_SEARCH;GLOBAL_CHEAPEST_ARC_and_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_TABU_SEARCH;SWEEP_and_TABU_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_TABU_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_TABU_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_TABU_SEARCH;CHRISTOFIDES_and_TABU_SEARCH;EVALUATOR_STRATEGY_and_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_and_TABU_SEARCH
CVRP_3;24.879255962371825;24.85417730808258;24.4285129070282;24.52230567932129;24.593801045417784;24.420731711387635;24.944418406486513;24.702481055259703;24.820565724372862;24.912900471687315;24.868623757362364;24.454080176353454;24.502683639526367;25.183456158638002;24.87897856235504
p3;60.00032103061676;60.00116631984711;60.00211772918701;60.00039792060852;60.00076093673706;60.00044212341309;60.00068359375;60.00203123092651;60.00116770267486;60.00027618408203;60.00010812282562;59.999700927734374;60.00104956626892;60.000690484046935;60.00038642883301
p1;21.531374311447145;23.101747107505798;21.485078144073487;21.541634154319762;22.398896384239197;21.467157125473022;21.949129128456114;21.456004452705383;21.209132075309753;21.42899000644684;21.53160927295685;21.23875687122345;21.872621011734008;21.521878814697267;22.36236960887909
CVRP_5;60.00089588165283;60.000509071350095;60.00068345069885;60.00148856639862;60.00057654380798;60.000450706481935;59.99992527961731;60.00033333301544;60.00153200626373;60.0000935792923;60.000907731056216;60.000214624404904;60.00107262134552;60.00015022754669;60.00182614326477
p31;0.04564731121063233;0.04132463932037354;0.03946683406829834;0.03954184055328369;0.03911967277526855;0.03937528133392334;0.0434354305267334;0.04024536609649658;0.043312358856201175;0.04292676448822021;0.04539213180541992;0.04069838523864746;0.042212486267089844;0.04649198055267334;0.04611780643463135
CVRP_2;19.51563458442688;18.383618807792665;17.508174347877503;16.518760561943054;16.992278981208802;16.444833111763;18.354623794555664;17.768078780174257;18.523744297027587;19.59844512939453;18.217536973953248;16.461221981048585;16.43185613155365;18.772077536582948;18.94500505924225
CVRP_100;0.11379861831665039;0.10245769023895264;0.10877091884613037;0.1092031478881836;0.10740530490875244;0.10591328144073486;0.11317126750946045;0.10949108600616456;0.11630482673645019;0.11299753189086914;0.11330745220184327;0.10664036273956298;0.10592708587646485;0.11197891235351562;0.11551203727722167
p2;18.190151238441466;18.10878701210022;22.372608280181886;22.334928894042967;23.26156816482544;23.153402352333067;18.146192812919615;22.4569051027298;17.521052765846253;17.73976047039032;17.798782896995544;22.71305117607117;22.883680319786073;17.866372489929198;17.33022665977478
CVRP_4;60.0010404586792;59.999906349182126;60.000162625312804;60.00052409172058;60.00010483264923;60.00197563171387;60.00165495872498;60.00040488243103;60.00064339637756;60.001288986206056;60.00067744255066;60.00129382610321;59.999434280395505;60.00123491287231;60.00140461921692
CVRP_1;22.04007794857025;20.93868088722229;18.26271343231201;18.23494749069214;16.697936296463013;16.742100167274476;22.08885803222656;19.520312690734862;26.15372598171234;21.26950843334198;21.30788609981537;15.974391269683839;15.904566884040833;21.282281255722047;23.640373730659483
