Instance;LOCAL_CHEAPEST_ARC_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_COST_INSERTION_and_SIMULATED_ANNEALING;PATH_CHEAPEST_ARC_and_SIMULATED_ANNEALING;EVALUATOR_STRATEGY_and_SIMULATED_ANNEALING;ALL_UNPERFORMED_and_SIMULATED_ANNEALING;SWEEP_and_SIMULATED_ANNEALING;PARALLEL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;SAVINGS_and_SIMULATED_ANNEALING;SEQUENTIAL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;FIRST_UNBOUND_MIN_VALUE_and_SIMULATED_ANNEALING;PATH_MOST_CONSTRAINED_ARC_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;GLOBAL_CHEAPEST_ARC_and_SIMULATED_ANNEALING;CHRISTOFIDES_and_SIMULATED_ANNEALING;BEST_INSERTION_and_SIMULATED_ANNEALING
CVRP_3;24.811752915382385;24.892202019691467;24.520656561851503;24.46336350440979;24.475677609443665;24.408574438095094;24.488631796836852;25.044881939888;24.868071293830873;24.518604397773743;25.145354533195494;24.40088109970093;24.445762515068054;25.207090902328492;24.897995471954346
p3;60.00044543743134;60.001643490791324;60.00039851665497;59.999081110954286;60.00028359889984;59.99981637001038;60.00033965110779;60.00040974617004;60.0000180721283;60.000899124145505;59.999503111839296;60.000759506225585;60.00054428577423;60.00144238471985;60.0007785320282
p1;21.56328477859497;20.605558848381044;21.18261981010437;20.538389563560486;21.566254496574402;20.50056173801422;20.835054636001587;20.61046347618103;20.494637298583985;20.29919390678406;21.046994471549986;20.47055196762085;20.701363015174866;20.62009415626526;20.34545156955719
CVRP_5;60.00088765621185;60.00034863948822;60.00058147907257;60.000709128379825;59.99992299079895;60.00019197463989;60.000477170944215;60.0004873752594;60.00112206935883;60.00056643486023;60.000543880462644;60.00013086795807;60.00153913497925;60.00080676078797;60.00087215900421
p31;0.043226075172424314;0.04578485488891602;0.039263439178466794;0.03911726474761963;0.03961889743804932;0.040647339820861814;0.03890557289123535;0.045849156379699704;0.04127635955810547;0.04166426658630371;0.043772411346435544;0.04027433395385742;0.03931427001953125;0.041448211669921874;0.04617002010345459
CVRP_2;18.759218287467956;19.459866642951965;16.60442945957184;17.87627167701721;16.93008248806;17.49232907295227;16.606537342071533;18.463046169281007;19.483501267433166;16.494110441207887;18.554635643959045;16.240545248985292;15.086605858802795;18.438656520843505;18.47840459346771
CVRP_100;0.1131566047668457;0.11383500099182128;0.10110490322113037;0.10650091171264649;0.10921094417572022;0.10678415298461914;0.10790779590606689;0.11569414138793946;0.1166158676147461;0.10708818435668946;0.11273729801177979;0.10548417568206787;0.10966551303863525;0.11348433494567871;0.11199738979339599
p2;17.784178185462952;18.162806487083436;22.267927885055542;23.288460850715637;22.36830577850342;22.834603834152222;23.19307408332825;17.411254715919494;17.316581034660338;23.583609557151796;17.829276037216186;22.728067374229433;22.39598433971405;18.197167325019837;17.775706553459166
CVRP_4;60.00061764717102;60.000878143310544;60.00073902606964;60.00127398967743;59.999716997146606;59.9997015953064;59.9996454000473;60.00062983036041;59.99961171150208;60.00057363510132;60.00129101276398;59.9997353553772;60.00070769786835;60.000899863243106;60.00023765563965
CVRP_1;21.346244978904725;22.12410967350006;20.146740913391113;16.736545991897582;18.123802638053895;16.893215942382813;16.759965109825135;23.41764259338379;23.614297366142274;16.762185716629027;20.05684585571289;15.999617505073548;18.300480222702028;22.080864810943602;21.350249338150025
