Instance;BEST_INSERTION_and_GENERIC_TABU_SEARCH;ALL_UNPERFORMED_and_GENERIC_TABU_SEARCH;EVALUATOR_STRATEGY_and_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_GENERIC_TABU_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_GENERIC_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;PATH_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_GENERIC_TABU_SEARCH;SAVINGS_and_GENERIC_TABU_SEARCH;GLOBAL_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;SWEEP_and_GENERIC_TABU_SEARCH;LOCAL_CHEAPEST_ARC_and_GENERIC_TABU_SEARCH;CHRISTOFIDES_and_GENERIC_TABU_SEARCH
CVRP_3;24.97742657661438;24.49887204170227;24.553919792175293;24.868323612213135;24.367604470252992;24.893825316429137;24.449878120422362;24.45695903301239;25.165261769294737;25.00744161605835;24.491823172569276;24.441990613937378;24.406155824661255;24.820200181007387;24.935931634902953
p3;60.00079321861267;60.000514078140256;60.00034737586975;60.000531268119815;59.99968950748443;60.00101368427276;59.999445462226866;60.000120997428894;60.0003166437149;60.00090944766998;60.00076534748077;60.00039157867432;60.001374053955075;59.99906539916992;60.000585436820984
p1;21.14316987991333;20.243587589263917;20.53665177822113;20.323234224319457;21.18213608264923;20.568931317329408;21.65768520832062;20.284861421585084;20.06804211139679;20.351820516586304;20.171855330467224;19.89743332862854;20.251754140853883;20.355068397521972;20.24900164604187
CVRP_5;59.9995459318161;60.0015533208847;60.000297856330874;60.00016453266144;60.00035662651062;59.99994339942932;60.00049650669098;59.99997463226318;60.00054833889008;60.00027580261231;60.002121758461;60.00090656280518;60.00020959377289;60.000517511367796;59.999586653709414
p31;0.043988728523254396;0.0415231466293335;0.040704655647277835;0.044205737113952634;0.04143953323364258;0.05056295394897461;0.04287889003753662;0.04190683364868164;0.048489952087402345;0.04433550834655762;0.04328067302703857;0.04165010452270508;0.04140150547027588;0.04732012748718262;0.048722362518310545
CVRP_2;18.940034365653993;16.4712073802948;16.676323175430298;18.280535888671874;16.95719244480133;18.270611143112184;17.207161283493043;17.550392699241637;18.59724977016449;19.641271710395813;17.451031827926634;16.622314834594725;16.285522723197936;18.492345786094667;19.53729681968689
CVRP_100;0.11318800449371338;0.10620617866516113;0.11094491481781006;0.11600868701934815;0.10925068855285644;0.11201245784759521;0.10609891414642333;0.10872488021850586;0.11325745582580567;0.11265950202941895;0.10525760650634766;0.10889549255371093;0.10610494613647461;0.12016856670379639;0.11480076313018799
p2;18.15564594268799;22.808046960830687;22.52912304401398;17.376796913146972;22.344450211524965;17.770321393013;22.669154977798463;23.15261619091034;18.23050992488861;17.797698497772217;22.754901003837585;22.39886863231659;23.118316340446473;18.14139461517334;17.38991723060608
CVRP_4;59.99975528717041;60.00130825042724;60.00076577663422;60.00107741355896;60.00080060958862;60.000674438476565;59.99975440502167;60.00006215572357;60.0003164768219;60.00018696784973;60.000626468658446;59.999708247184756;60.000808119773865;60.0004426240921;59.99946320056915
CVRP_1;22.116328763961793;15.930851578712463;18.156446671485902;23.631236791610718;18.238378715515136;21.27236099243164;17.305468940734862;16.697148418426515;20.844292068481444;21.309702038764954;15.943554663658142;18.331985759735108;17.094937205314636;22.14321756362915;23.49120683670044
