Instance;SWEEP_and_GUIDED_LOCAL_SEARCH;BEST_INSERTION_and_GUIDED_LOCAL_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;ALL_UNPERFORMED_and_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;CHRISTOFIDES_and_GUIDED_LOCAL_SEARCH;PATH_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;GLOBAL_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_GUIDED_LOCAL_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;EVALUATOR_STRATEGY_and_GUIDED_LOCAL_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_GUIDED_LOCAL_SEARCH;SAVINGS_and_GUIDED_LOCAL_SEARCH
CVRP_3;24.81975679397583;24.467400598526;24.849115753173827;24.88949320316315;24.878885102272033;24.895703387260436;24.50314304828644;25.043448281288146;24.98979139328003;24.477924132347106;24.452477359771727;24.457583808898924;25.134504532814027;24.852961230278016;24.501316618919372
p3;60.00276515483856;60.00113480091095;60.0007098197937;60.00088322162628;60.001671767234804;60.00030465126038;60.00171184539795;60.00053339004516;60.00014660358429;60.00023772716522;60.00062825679779;60.00100355148315;60.000257110595705;60.00077793598175;60.00043635368347
p1;21.02071635723114;20.496747922897338;21.491914486885072;20.291546273231507;20.543790316581727;20.547534394264222;20.506138181686403;20.340224933624267;20.5997704744339;20.877782106399536;21.354845452308655;20.49687292575836;21.466659259796142;20.67501974105835;20.295959758758546
CVRP_5;60.00063762664795;59.99974431991577;60.00070905685425;60.00033769607544;60.00129427909851;60.00102541446686;60.00107915401459;60.00067586898804;60.00082061290741;60.00230700969696;60.002411246299744;60.00116567611694;60.00056848526001;60.0008638381958;59.99997062683106
p31;0.04835617542266846;0.04199647903442383;0.04147601127624512;0.045724797248840335;0.04448580741882324;0.049313139915466306;0.04144394397735596;0.045631814002990725;0.04712541103363037;0.04319851398468018;0.04159722328186035;0.04197077751159668;0.043992352485656736;0.04660189151763916;0.04153120517730713
CVRP_2;18.391044545173646;17.669970512390137;16.630334353446962;18.460667896270753;18.29018108844757;18.674566388130188;17.536857557296752;19.651719212532043;19.404719519615174;16.473680233955385;16.72095994949341;16.31081895828247;18.918495965003967;19.53627555370331;16.64472312927246
CVRP_100;0.11324574947357177;0.10699582099914551;0.10817909240722656;0.11326024532318116;0.11280696392059326;0.11537728309631348;0.11043825149536132;0.09728138446807862;0.11213898658752441;0.10896995067596435;0.1062800407409668;0.10731878280639648;0.11559586524963379;0.11702525615692139;0.1056323528289795
p2;18.259442019462586;23.203961873054503;23.116531252861023;18.108627438545227;17.67516815662384;17.30196659564972;22.324184370040893;17.69176332950592;17.745162105560304;22.262815117836;22.740877079963685;23.202193522453307;17.472591471672057;17.31329185962677;22.799661087989808
CVRP_4;60.00079345703125;60.00115768909454;60.00033535957336;60.00133583545685;60.00017418861389;60.00152449607849;60.00164024829864;60.00058948993683;60.00116426944733;60.00129420757294;60.001419401168825;60.00163269042969;60.00007209777832;60.00078926086426;60.00080523490906
CVRP_1;22.354979085922242;16.75120668411255;16.777048349380493;22.10110981464386;21.25640935897827;23.781370449066163;18.586256170272826;20.117843985557556;21.32990562915802;18.213078713417055;15.972885036468506;16.779440498352052;22.25063488483429;23.63763360977173;15.937283205986024
