Instance;LOCAL_CHEAPEST_COST_INSERTION_and_TABU_SEARCH;SWEEP_and_SIMULATED_ANNEALING;SAVINGS_and_GUIDED_LOCAL_SEARCH;EVALUATOR_STRATEGY_and_GREEDY_DESCENT;PARALLEL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH
CVRP_3;24.454080176353454;24.408574438095094;24.501316618919372;24.569493579864503;24.441990613937378
p3;59.999700927734374;59.99981637001038;60.00043635368347;60.00015249252319;60.00039157867432
p1;21.23875687122345;20.50056173801422;20.295959758758546;21.387923002243042;19.89743332862854
CVRP_5;60.000214624404904;60.00019197463989;59.99997062683106;60.000728487968445;60.00090656280518
p31;0.04069838523864746;0.040647339820861814;0.04153120517730713;0.043440842628479005;0.04165010452270508
CVRP_2;16.461221981048585;17.49232907295227;16.64472312927246;16.342317247390746;16.622314834594725
CVRP_100;0.10664036273956298;0.10678415298461914;0.1056323528289795;0.10640616416931152;0.10889549255371093
p2;22.71305117607117;22.834603834152222;22.799661087989808;22.850889730453492;22.39886863231659
CVRP_4;60.00129382610321;59.9997015953064;60.00080523490906;60.000122570991515;59.999708247184756
CVRP_1;15.974391269683839;16.893215942382813;15.937283205986024;17.72484095096588;18.331985759735108
